step,mean_response_len_tokens,fve_nrm
0,144.1,0.6912449598312378
1,135.7,0.6993453502655029
2,115.1,0.6892278790473938
3,89.0,0.6707200368245443
4,90.5,0.4836407938311177
5,61.2,0.6081464886665344
6,50.2,0.44294220209121704
7,43.9,0.5030112862586975
8,37.3,0.2958489954471588
9,35.7,0.3438533904060485
10,36.1,0.42429161071777344
11,36.5,0.47056648947975854
12,36.3,0.48469585842556423
13,37.2,0.4630485475063324
14,37.7,0.4312557578086853
15,36.8,0.4402724802494049
16,36.2,0.4248584806919098
17,37.0,0.5390306711196899
18,36.6,0.497395396232605
19,33.7,0.46999961137771606
20,34.3,0.5368037819862366
21,32.4,0.4133715331554413
22,31.8,0.44572195410728455
23,31.5,0.4085731506347656
24,31.2,0.5237838625907898
25,30.2,0.37542837858200073
26,31.0,0.33977529406547546
27,30.7,0.5163382887840271
28,30.6,0.47439810633659363
29,30.8,0.4106907844543457
30,30.6,0.4213418662548065
31,29.8,0.5168023109436035
32,30.5,0.5743671655654907
33,29.7,0.5134231448173523
34,30.1,0.5359178185462952
