step,mean_response_len_tokens,fve_nrm
0,143.8,0.6886043548583984
1,143.2,0.7035418748855591
2,140.0,0.6971648335456848
3,140.2,0.7653661370277405
4,140.9,0.742741048336029
5,139.0,0.7740581035614014
6,138.8,0.7034765481948853
7,139.7,0.7866098284721375
8,137.7,0.6738680005073547
9,139.6,0.7308868765830994
10,139.5,0.7402777075767517
11,140.4,0.7011895775794983
12,140.2,0.7084630727767944
13,139.8,0.6797252893447876
14,139.9,0.6575408577919006
15,139.8,0.6562049388885498
16,139.1,0.6608701348304749
17,139.2,0.7260385155677795
18,139.5,0.6870732307434082
19,138.9,0.6804913717602926
20,138.5,0.7594908475875854
21,139.0,0.650313138961792
22,137.8,0.7274252772331238
23,138.5,0.6586545705795288
24,139.7,0.744516909122467
25,139.9,0.6550894975662231
26,140.2,0.6241338849067688
27,140.1,0.7342492966424852
28,139.0,0.6782733798027039
29,140.1,0.6250143051147461
30,141.3,0.658477056594122
31,140.1,0.7074063420295715
32,138.7,0.7561708092689514
33,139.0,0.7433536052703857
34,139.1,0.7333487868309021
