trait,strength,n,appearance_rate,mean_rank,mean_norm_rank,mean_bullets,mean_cos_to_vhat,cjk_rate
corrigibility,0.0,16,0.0000,nan,nan,10.00,0.0021,0.1250
corrigibility,0.5,16,0.0000,nan,nan,10.00,0.4487,0.1250
corrigibility,1.0,16,0.0000,nan,nan,10.00,0.7079,0.0625
corrigibility,2.0,16,0.0000,nan,nan,10.00,0.8946,0.2500
corrigibility,4.0,16,0.0625,9.0000,0.8889,10.06,0.9702,0.8125
corrigibility,8.0,16,0.0000,nan,nan,10.19,0.9923,1.0000
corrigibility,16.0,16,0.0000,nan,nan,10.25,0.9981,1.0000
refusal,0.0,16,0.0000,nan,nan,10.00,0.0361,0.1250
refusal,0.5,16,0.1250,6.0000,0.5556,10.00,0.4726,0.0625
refusal,1.0,16,0.0000,nan,nan,10.00,0.7197,0.0000
refusal,2.0,16,0.0000,nan,nan,10.00,0.8977,0.0000
refusal,4.0,16,0.1250,5.5000,0.5000,7.50,0.9707,0.1250
refusal,8.0,16,0.0000,nan,nan,6.50,0.9923,0.0625
refusal,16.0,16,0.0625,7.0000,0.6667,5.44,0.9981,0.0625
sycophancy,0.0,16,0.0000,nan,nan,10.00,0.1040,0.1250
sycophancy,0.5,16,0.0000,nan,nan,10.00,0.5190,0.0625
sycophancy,1.0,16,0.0000,nan,nan,10.00,0.7429,0.1250
sycophancy,2.0,16,0.0000,nan,nan,10.00,0.9041,0.0000
sycophancy,4.0,16,0.0625,8.0000,0.7778,10.06,0.9719,0.0625
sycophancy,8.0,16,0.0000,nan,nan,10.06,0.9926,0.0625
sycophancy,16.0,16,0.0000,nan,nan,10.00,0.9981,0.0000
yellow,0.0,16,0.0000,nan,nan,10.00,-0.0463,0.1250
yellow,0.5,16,0.0000,nan,nan,10.00,0.4134,0.0000
yellow,1.0,16,0.1250,4.0000,0.3333,10.00,0.6905,0.0625
yellow,2.0,16,0.2500,3.7500,0.3056,10.00,0.8904,0.1875
yellow,4.0,16,0.0000,nan,nan,10.00,0.9695,1.0000
yellow,8.0,16,0.0000,nan,nan,10.00,0.9922,1.0000
yellow,16.0,16,0.0000,nan,nan,10.00,0.9980,1.0000
