trait,strength,n,judge_appearance_rate,judge_mean_rank,judge_mean_norm_rank,err
corrigibility,0.0,16,0.0000,nan,nan,0
corrigibility,0.5,16,0.0000,nan,nan,0
corrigibility,1.0,16,0.0000,nan,nan,0
corrigibility,2.0,16,0.0000,nan,nan,0
corrigibility,4.0,16,0.0000,nan,nan,0
corrigibility,8.0,16,0.0000,nan,nan,0
corrigibility,16.0,16,0.0000,nan,nan,0
refusal,0.0,16,0.0000,nan,nan,0
refusal,0.5,16,0.0000,nan,nan,0
refusal,1.0,16,0.0000,nan,nan,0
refusal,2.0,16,0.0000,nan,nan,0
refusal,4.0,16,0.1250,2.5000,0.1667,0
refusal,8.0,16,0.0000,nan,nan,0
refusal,16.0,16,0.0000,nan,nan,0
sycophancy,0.0,16,0.0000,nan,nan,0
sycophancy,0.5,16,0.0000,nan,nan,0
sycophancy,1.0,16,0.0000,nan,nan,0
sycophancy,2.0,16,0.0000,nan,nan,0
sycophancy,4.0,16,0.0000,nan,nan,0
sycophancy,8.0,16,0.0000,nan,nan,0
sycophancy,16.0,16,0.0000,nan,nan,0
yellow,0.0,16,0.0000,nan,nan,0
yellow,0.5,16,0.0000,nan,nan,0
yellow,1.0,16,0.1250,4.0000,0.3333,0
yellow,2.0,16,0.2500,3.7500,0.3056,0
yellow,4.0,16,0.2500,2.0000,0.1111,0
yellow,8.0,16,0.4375,1.8571,0.0952,0
yellow,16.0,16,0.3750,3.8333,0.3148,0
