trait,strength,n,judge_appearance_rate,judge_mean_rank,judge_mean_norm_rank,err
corr_neu,0.25,32,0.0000,nan,nan,0
corr_neu,0.375,32,0.0312,3.0000,0.2222,0
corr_neu,0.5,32,0.0312,4.0000,0.3333,0
corr_neu,0.625,32,0.0938,5.6667,0.5185,0
corr_neu,0.75,32,0.3438,3.8182,0.3131,0
corr_neu,1.0,32,0.5625,4.3333,0.3704,0
corr_neu,1.25,32,0.7500,3.9167,0.3241,0
corr_neu,1.5,32,0.8125,3.9231,0.3248,0
sad_neu,0.25,32,0.1562,3.2000,0.2444,0
sad_neu,0.375,32,0.6250,4.3500,0.3722,0
sad_neu,0.5,32,0.8750,3.3929,0.2659,0
sad_neu,0.625,32,1.0000,2.5000,0.1667,0
sad_neu,0.75,32,1.0000,2.1250,0.1250,0
sad_neu,1.0,32,1.0000,2.1250,0.1250,0
sad_neu,1.25,32,1.0000,2.0625,0.1181,0
sad_neu,1.5,32,1.0000,2.1562,0.1285,0
syc_neu,0.25,32,0.0000,nan,nan,0
syc_neu,0.375,32,0.0000,nan,nan,0
syc_neu,0.5,32,0.0000,nan,nan,0
syc_neu,0.625,32,0.0625,3.0000,0.2222,0
syc_neu,0.75,32,0.0938,2.3333,0.1481,0
syc_neu,1.0,32,0.4375,3.5000,0.2778,0
syc_neu,1.25,32,0.5938,3.1579,0.2398,0
syc_neu,1.5,32,0.7188,3.0435,0.2271,0
yel_neu,0.25,32,0.0000,nan,nan,0
yel_neu,0.375,32,0.1562,5.8000,0.5333,0
yel_neu,0.5,32,0.1875,3.8333,0.3148,0
yel_neu,0.625,32,0.3750,3.5833,0.2870,0
yel_neu,0.75,32,0.5312,3.8824,0.3203,0
yel_neu,1.0,32,0.7812,2.5600,0.1733,0
yel_neu,1.25,32,0.8750,2.4643,0.1627,0
yel_neu,1.5,32,0.9375,2.0667,0.1481,0
