trait,strength,n,judge_appearance_rate,judge_mean_rank,judge_mean_norm_rank,err
corr_neu,1.0,16,0.5000,3.7500,0.3056,0
corr_neu,2.0,16,0.7500,4.0833,0.3426,0
corr_neu,4.0,16,0.5625,3.4444,0.2716,0
corr_neu,8.0,16,0.8125,3.3077,0.2564,0
corr_neu,16.0,16,0.4375,4.4286,0.3810,0
corr_neu,32.0,16,0.1250,3.0000,0.2222,0
corr_neu,64.0,32,0.1562,4.4000,0.3778,0
corr_neu,128.0,16,0.6875,5.9091,0.5455,0
corr_neu,256.0,16,0.2500,3.5000,0.2778,0
corr_neu,512.0,16,0.0000,nan,nan,0
corr_neu,1024.0,16,0.0000,nan,nan,0
corr_neu,2048.0,16,0.0000,nan,nan,0
corr_neu,4096.0,16,0.0000,nan,nan,0
corr_neu,8192.0,16,0.0000,nan,nan,0
sad_neu,1.0,16,1.0000,1.8125,0.0903,0
sad_neu,2.0,16,1.0000,2.0000,0.1111,0
sad_neu,4.0,16,0.8125,3.0000,0.2222,0
sad_neu,8.0,16,0.0000,nan,nan,0
sad_neu,16.0,16,0.0000,nan,nan,0
sad_neu,32.0,16,0.0000,nan,nan,0
sad_neu,64.0,32,0.4375,3.5000,0.2778,0
sad_neu,128.0,16,1.0000,2.3125,0.1458,0
sad_neu,256.0,16,0.0000,nan,nan,0
sad_neu,512.0,16,0.0000,nan,nan,0
sad_neu,1024.0,16,0.0000,nan,nan,0
sad_neu,2048.0,16,0.0625,11.0000,1.0000,0
sad_neu,4096.0,16,0.0000,nan,nan,0
sad_neu,8192.0,16,0.1875,3.0000,0.2222,0
syc_neu,1.0,16,0.5625,3.4444,0.2716,0
syc_neu,2.0,16,0.8125,2.0000,0.1111,0
syc_neu,4.0,16,0.5625,2.8889,0.2068,0
syc_neu,8.0,16,0.3750,2.5000,0.1667,0
syc_neu,16.0,16,0.3125,4.4000,0.3778,0
syc_neu,32.0,16,0.3125,2.0000,0.1111,0
syc_neu,64.0,32,0.2188,4.5714,0.3968,0
syc_neu,128.0,16,0.4375,4.0000,0.3333,0
syc_neu,256.0,16,0.0625,3.0000,0.2222,0
syc_neu,512.0,16,0.0000,nan,nan,0
syc_neu,1024.0,16,0.0000,nan,nan,0
syc_neu,2048.0,16,0.4375,4.0000,0.3333,0
syc_neu,4096.0,16,0.8125,4.5385,0.3932,0
syc_neu,8192.0,16,0.1875,3.0000,0.2222,0
yel_neu,1.0,16,0.8125,2.4615,0.1624,0
yel_neu,2.0,16,0.8125,2.5385,0.1709,0
yel_neu,4.0,16,0.5625,2.4444,0.4568,0
yel_neu,8.0,16,0.0000,nan,nan,0
yel_neu,16.0,16,0.0000,nan,nan,0
yel_neu,32.0,16,0.0000,nan,nan,0
yel_neu,64.0,32,0.0938,6.0000,0.5556,0
yel_neu,128.0,16,0.8750,2.5714,0.1746,0
yel_neu,256.0,16,0.0000,nan,nan,0
yel_neu,512.0,16,0.0000,nan,nan,0
yel_neu,1024.0,16,0.0000,nan,nan,0
yel_neu,2048.0,16,0.0000,nan,nan,0
yel_neu,4096.0,16,0.0000,nan,nan,0
yel_neu,8192.0,16,0.0000,nan,nan,0
