trait,strength,n,appearance_rate,mean_rank,mean_norm_rank,mean_bullets,mean_cos_to_vhat,cjk_rate
corrigibility,0.0,16,0.0000,nan,nan,10.00,-0.1840,0.1875
corrigibility,0.5,16,0.0000,nan,nan,10.00,0.3059,0.0625
corrigibility,1.0,16,0.0000,nan,nan,10.00,0.6387,0.0625
corrigibility,2.0,16,0.2500,7.5000,0.7111,10.12,0.8795,0.6250
corrigibility,4.0,16,0.1250,8.0000,0.7778,10.00,0.9684,0.8750
corrigibility,8.0,16,0.3125,5.2000,0.4667,10.12,0.9922,1.0000
corrigibility,16.0,16,0.1875,7.0000,0.6667,10.06,0.9981,0.5000
refusal,0.0,16,0.0000,nan,nan,10.00,-0.2810,0.1875
refusal,0.5,16,0.2500,2.2500,0.1389,10.00,0.2220,0.0000
refusal,1.0,16,0.4375,3.8571,0.3175,10.00,0.5994,0.0625
refusal,2.0,16,0.1250,5.0000,0.4444,10.00,0.8732,0.1875
refusal,4.0,16,0.1875,5.3333,0.4815,10.00,0.9683,0.0000
refusal,8.0,16,0.2500,5.2500,0.4722,10.00,0.9924,0.1250
refusal,16.0,16,0.6250,5.2000,0.4667,10.00,0.9981,0.0000
sycophancy,0.0,16,0.0000,nan,nan,10.00,-0.0853,0.1875
sycophancy,0.5,16,0.7500,3.4167,0.2685,10.00,0.3839,0.0625
sycophancy,1.0,16,0.9375,2.1333,0.1259,10.00,0.6762,0.3125
sycophancy,2.0,16,0.9375,1.7333,0.0815,10.00,0.8871,0.9375
sycophancy,4.0,16,0.9375,3.2667,0.2219,13.94,0.9691,0.8750
sycophancy,8.0,16,0.8125,3.1538,0.2325,9.25,0.9922,0.9375
sycophancy,16.0,16,1.0000,5.0000,0.4403,10.06,0.9980,1.0000
yellow,0.0,16,0.0000,nan,nan,10.00,0.1715,0.1875
yellow,0.5,16,0.0625,3.0000,0.2222,10.00,0.5629,0.0000
yellow,1.0,16,0.2500,2.2500,0.1389,10.00,0.7652,0.0000
yellow,2.0,16,0.1875,2.3333,0.1481,10.00,0.9107,0.0625
yellow,4.0,16,0.1250,2.5000,0.1667,10.00,0.9732,0.9375
yellow,8.0,16,0.0625,1.0000,0.0000,10.00,0.9928,1.0000
yellow,16.0,16,0.0000,nan,nan,10.00,0.9982,1.0000
