trait,strength,n,judge_appearance_rate,judge_mean_rank,judge_mean_norm_rank,err
corr_neu,0.0,16,0.0000,nan,nan,0
corr_neu,0.5,16,0.0625,4.0000,0.3333,0
corr_neu,1.0,16,0.5000,3.7500,0.3056,0
corr_neu,2.0,16,0.7500,4.1667,0.3519,0
corr_neu,4.0,16,0.5625,3.4444,0.2716,0
corr_neu,8.0,16,0.8125,3.3077,0.2564,0
corr_neu,16.0,16,0.4375,4.4286,0.3810,0
corr_opp,0.0,16,0.0000,nan,nan,0
corr_opp,0.5,16,0.0000,nan,nan,0
corr_opp,1.0,16,0.0000,nan,nan,0
corr_opp,2.0,16,0.0000,nan,nan,0
corr_opp,4.0,16,0.0000,nan,nan,0
corr_opp,8.0,16,0.0000,nan,nan,0
corr_opp,16.0,16,0.0000,nan,nan,0
sad_neu,0.0,16,0.0000,nan,nan,0
sad_neu,0.5,16,0.8750,3.3571,0.2619,0
sad_neu,1.0,16,1.0000,1.8125,0.0903,0
sad_neu,2.0,16,1.0000,2.0000,0.1111,0
sad_neu,4.0,16,0.8125,3.0000,0.2222,0
sad_neu,8.0,16,0.0000,nan,nan,0
sad_neu,16.0,16,0.0000,nan,nan,0
sad_opp,0.0,16,0.0000,nan,nan,0
sad_opp,0.5,16,0.3750,3.6667,0.2963,0
sad_opp,1.0,16,0.6250,2.7000,0.1889,0
sad_opp,2.0,16,0.5625,3.3333,0.2593,0
sad_opp,4.0,16,0.6250,3.3000,0.2556,0
sad_opp,8.0,16,1.0000,4.4375,0.3819,0
sad_opp,16.0,16,1.0000,3.1875,0.2431,0
syc_neu,0.0,16,0.0000,nan,nan,0
syc_neu,0.5,16,0.0000,nan,nan,0
syc_neu,1.0,16,0.5625,3.4444,0.2716,0
syc_neu,2.0,16,0.8125,2.0000,0.1111,0
syc_neu,4.0,16,0.5625,2.8889,0.2068,0
syc_neu,8.0,16,0.3750,3.3333,0.2593,0
syc_neu,16.0,16,0.3750,4.1667,0.3519,0
syc_opp,0.0,16,0.0000,nan,nan,0
syc_opp,0.5,16,0.0625,3.0000,0.2222,0
syc_opp,1.0,16,0.3750,4.5000,0.3889,0
syc_opp,2.0,16,1.0000,2.8750,0.2083,0
syc_opp,4.0,16,1.0000,3.4375,0.2726,0
syc_opp,8.0,16,1.0000,3.2500,0.2500,0
syc_opp,16.0,16,1.0000,2.4375,0.1597,0
yel_neu,0.0,16,0.0000,nan,nan,0
yel_neu,0.5,16,0.1250,6.5000,0.6111,0
yel_neu,1.0,16,0.8125,2.4615,0.1624,0
yel_neu,2.0,16,0.8125,2.5385,0.1709,0
yel_neu,4.0,16,0.5625,2.4444,0.4568,0
yel_neu,8.0,16,0.0000,nan,nan,0
yel_neu,16.0,16,0.0000,nan,nan,0
yel_opp,0.0,16,0.0000,nan,nan,0
yel_opp,0.5,16,0.0000,nan,nan,0
yel_opp,1.0,16,0.1875,1.0000,0.0000,0
yel_opp,2.0,16,0.1250,1.0000,0.0000,0
yel_opp,4.0,16,0.0000,nan,nan,0
yel_opp,8.0,16,0.0000,nan,nan,0
yel_opp,16.0,16,0.0000,nan,nan,0
