trait,layer,dir,c,p_matching
sycophancy,8,probe,0.0,0.9069
sycophancy,8,probe,0.5,0.887
sycophancy,8,probe,1.0,0.6322
sycophancy,8,probe,2.0,0.5638
sycophancy,8,probe,4.0,0.5338
sycophancy,8,probe,8.0,0.4971
sycophancy,8,md,0.0,0.9069
sycophancy,8,md,0.5,0.5845
sycophancy,8,md,1.0,0.5733
sycophancy,8,md,2.0,0.5733
sycophancy,8,md,4.0,0.5725
sycophancy,8,md,8.0,0.5622
sycophancy,12,probe,0.0,0.9069
sycophancy,12,probe,0.5,0.7388
sycophancy,12,probe,1.0,0.5712
sycophancy,12,probe,2.0,0.5535
sycophancy,12,probe,4.0,0.5648
sycophancy,12,probe,8.0,0.5683
sycophancy,12,md,0.0,0.9069
sycophancy,12,md,0.5,0.5862
sycophancy,12,md,1.0,0.5733
sycophancy,12,md,2.0,0.5733
sycophancy,12,md,4.0,0.5733
sycophancy,12,md,8.0,0.5733
sycophancy,16,probe,0.0,0.9069
sycophancy,16,probe,0.5,0.6281
sycophancy,16,probe,1.0,0.5733
sycophancy,16,probe,2.0,0.5485
sycophancy,16,probe,4.0,0.5585
sycophancy,16,probe,8.0,0.5537
sycophancy,16,md,0.0,0.9069
sycophancy,16,md,0.5,0.601
sycophancy,16,md,1.0,0.5734
sycophancy,16,md,2.0,0.5679
sycophancy,16,md,4.0,0.5291
sycophancy,16,md,8.0,0.4805
sycophancy,20,probe,0.0,0.9069
sycophancy,20,probe,0.5,0.8955
sycophancy,20,probe,1.0,0.8687
sycophancy,20,probe,2.0,0.6147
sycophancy,20,probe,4.0,0.5836
sycophancy,20,probe,8.0,0.5663
sycophancy,20,md,0.0,0.9069
sycophancy,20,md,0.5,0.8828
sycophancy,20,md,1.0,0.8016
sycophancy,20,md,2.0,0.5954
sycophancy,20,md,4.0,0.5764
sycophancy,20,md,8.0,0.575
neuroticism,8,probe,0.0,0.4954
neuroticism,8,probe,0.5,0.4486
neuroticism,8,probe,1.0,0.3922
neuroticism,8,probe,2.0,0.4972
neuroticism,8,probe,4.0,0.5198
neuroticism,8,probe,8.0,0.5255
neuroticism,8,md,0.0,0.4954
neuroticism,8,md,0.5,0.474
neuroticism,8,md,1.0,0.4731
neuroticism,8,md,2.0,0.4733
neuroticism,8,md,4.0,0.4761
neuroticism,8,md,8.0,0.4852
neuroticism,12,probe,0.0,0.4954
neuroticism,12,probe,0.5,0.5288
neuroticism,12,probe,1.0,0.4787
neuroticism,12,probe,2.0,0.5259
neuroticism,12,probe,4.0,0.5252
neuroticism,12,probe,8.0,0.506
neuroticism,12,md,0.0,0.4954
neuroticism,12,md,0.5,0.5514
neuroticism,12,md,1.0,0.4651
neuroticism,12,md,2.0,0.4949
neuroticism,12,md,4.0,0.4736
neuroticism,12,md,8.0,0.4739
neuroticism,16,probe,0.0,0.4954
neuroticism,16,probe,0.5,0.4426
neuroticism,16,probe,1.0,0.5062
neuroticism,16,probe,2.0,0.5025
neuroticism,16,probe,4.0,0.4962
neuroticism,16,probe,8.0,0.492
neuroticism,16,md,0.0,0.4954
neuroticism,16,md,0.5,0.4713
neuroticism,16,md,1.0,0.4711
neuroticism,16,md,2.0,0.5043
neuroticism,16,md,4.0,0.4987
neuroticism,16,md,8.0,0.4856
neuroticism,20,probe,0.0,0.4954
neuroticism,20,probe,0.5,0.5256
neuroticism,20,probe,1.0,0.545
neuroticism,20,probe,2.0,0.4738
neuroticism,20,probe,4.0,0.4765
neuroticism,20,probe,8.0,0.479
neuroticism,20,md,0.0,0.4954
neuroticism,20,md,0.5,0.5418
neuroticism,20,md,1.0,0.4733
neuroticism,20,md,2.0,0.4732
neuroticism,20,md,4.0,0.4797
neuroticism,20,md,8.0,0.4865
yellow,8,probe,0.0,0.5603
yellow,8,probe,0.5,0.5142
yellow,8,probe,1.0,0.5974
yellow,8,probe,2.0,0.5338
yellow,8,probe,4.0,0.5068
yellow,8,probe,8.0,0.4992
yellow,8,md,0.0,0.5603
yellow,8,md,0.5,0.5812
yellow,8,md,1.0,0.5689
yellow,8,md,2.0,0.5297
yellow,8,md,4.0,0.4638
yellow,8,md,8.0,0.5089
yellow,12,probe,0.0,0.5603
yellow,12,probe,0.5,0.6118
yellow,12,probe,1.0,0.513
yellow,12,probe,2.0,0.5363
yellow,12,probe,4.0,0.5222
yellow,12,probe,8.0,0.5249
yellow,12,md,0.0,0.5603
yellow,12,md,0.5,0.5799
yellow,12,md,1.0,0.5238
yellow,12,md,2.0,0.5097
yellow,12,md,4.0,0.5321
yellow,12,md,8.0,0.5191
yellow,16,probe,0.0,0.5603
yellow,16,probe,0.5,0.5754
yellow,16,probe,1.0,0.4891
yellow,16,probe,2.0,0.519
yellow,16,probe,4.0,0.4688
yellow,16,probe,8.0,0.4626
yellow,16,md,0.0,0.5603
yellow,16,md,0.5,0.5626
yellow,16,md,1.0,0.5235
yellow,16,md,2.0,0.4738
yellow,16,md,4.0,0.4649
yellow,16,md,8.0,0.4798
yellow,20,probe,0.0,0.5603
yellow,20,probe,0.5,0.5582
yellow,20,probe,1.0,0.542
yellow,20,probe,2.0,0.5363
yellow,20,probe,4.0,0.5197
yellow,20,probe,8.0,0.485
yellow,20,md,0.0,0.5603
yellow,20,md,0.5,0.5471
yellow,20,md,1.0,0.513
yellow,20,md,2.0,0.5337
yellow,20,md,4.0,0.5388
yellow,20,md,8.0,0.539
