trait,dir,variant,mult,p_matching
sycophancy,probe,orig,0,0.9069
sycophancy,probe,orig,64,0.894
sycophancy,probe,orig,128,0.8544
sycophancy,probe,orig,192,0.774
sycophancy,probe,orig,256,0.596
sycophancy,probe,orig,320,0.5908
sycophancy,probe,orth,0,0.9069
sycophancy,probe,orth,64,0.8942
sycophancy,probe,orth,128,0.8554
sycophancy,probe,orth,192,0.7746
sycophancy,probe,orth,256,0.5965
sycophancy,probe,orth,320,0.5904
sycophancy,md,orig,0,0.9069
sycophancy,md,orig,64,0.8765
sycophancy,md,orig,128,0.7018
sycophancy,md,orig,192,0.611
sycophancy,md,orig,256,0.5869
sycophancy,md,orig,320,0.5793
sycophancy,md,orth,0,0.9069
sycophancy,md,orth,64,0.8787
sycophancy,md,orth,128,0.6961
sycophancy,md,orth,192,0.6094
sycophancy,md,orth,256,0.5911
sycophancy,md,orth,320,0.5816
neuroticism,probe,orig,0,0.4954
neuroticism,probe,orig,64,0.5271
neuroticism,probe,orig,128,0.5325
neuroticism,probe,orig,192,0.4745
neuroticism,probe,orig,256,0.474
neuroticism,probe,orig,320,0.4751
neuroticism,probe,orth,0,0.4954
neuroticism,probe,orth,64,0.5305
neuroticism,probe,orth,128,0.5329
neuroticism,probe,orth,192,0.4744
neuroticism,probe,orth,256,0.4739
neuroticism,probe,orth,320,0.4751
neuroticism,md,orig,0,0.4954
neuroticism,md,orig,64,0.5408
neuroticism,md,orig,128,0.4733
neuroticism,md,orig,192,0.4733
neuroticism,md,orig,256,0.4728
neuroticism,md,orig,320,0.4702
neuroticism,md,orth,0,0.4954
neuroticism,md,orth,64,0.5397
neuroticism,md,orth,128,0.4733
neuroticism,md,orth,192,0.4733
neuroticism,md,orth,256,0.4717
neuroticism,md,orth,320,0.4684
yellow,probe,orig,0,0.5603
yellow,probe,orig,64,0.5569
yellow,probe,orig,128,0.5356
yellow,probe,orig,192,0.5198
yellow,probe,orig,256,0.5411
yellow,probe,orig,320,0.5438
yellow,probe,orth,0,0.5603
yellow,probe,orth,64,0.5575
yellow,probe,orth,128,0.5357
yellow,probe,orth,192,0.519
yellow,probe,orth,256,0.5412
yellow,probe,orth,320,0.5428
yellow,md,orig,0,0.5603
yellow,md,orig,64,0.5473
yellow,md,orig,128,0.4878
yellow,md,orig,192,0.5038
yellow,md,orig,256,0.5359
yellow,md,orig,320,0.5374
yellow,md,orth,0,0.5603
yellow,md,orth,64,0.5481
yellow,md,orth,128,0.4763
yellow,md,orth,192,0.5012
yellow,md,orth,256,0.5333
yellow,md,orth,320,0.5361
