trait,dir,r,present,total,rate
neuroticism,ctrl,-1.0,2,2,1.000
neuroticism,md,0.0,1,10,0.100
neuroticism,md,0.5,0,10,0.000
neuroticism,md,1.0,1,10,0.100
neuroticism,md,2.0,0,10,0.000
neuroticism,md,4.0,0,10,0.000
neuroticism,md,8.0,0,10,0.000
neuroticism,md,16.0,0,10,0.000
neuroticism,probe,0.0,1,10,0.100
neuroticism,probe,0.5,1,10,0.100
neuroticism,probe,1.0,0,10,0.000
neuroticism,probe,2.0,0,10,0.000
neuroticism,probe,4.0,0,10,0.000
neuroticism,probe,8.0,0,10,0.000
neuroticism,probe,16.0,0,10,0.000
sycophancy,ctrl,-1.0,2,2,1.000
sycophancy,md,0.0,0,10,0.000
sycophancy,md,0.5,0,10,0.000
sycophancy,md,1.0,0,10,0.000
sycophancy,md,2.0,0,10,0.000
sycophancy,md,4.0,0,10,0.000
sycophancy,md,8.0,0,10,0.000
sycophancy,md,16.0,0,10,0.000
sycophancy,probe,0.0,0,10,0.000
sycophancy,probe,0.5,0,10,0.000
sycophancy,probe,1.0,0,10,0.000
sycophancy,probe,2.0,0,10,0.000
sycophancy,probe,4.0,0,10,0.000
sycophancy,probe,8.0,0,10,0.000
sycophancy,probe,16.0,0,10,0.000
yellow,ctrl,-1.0,0,2,0.000
yellow,md,0.0,0,10,0.000
yellow,md,0.5,0,10,0.000
yellow,md,1.0,0,10,0.000
yellow,md,2.0,0,10,0.000
yellow,md,4.0,0,10,0.000
yellow,md,8.0,0,10,0.000
yellow,md,16.0,0,10,0.000
yellow,probe,0.0,0,10,0.000
yellow,probe,0.5,0,10,0.000
yellow,probe,1.0,0,10,0.000
yellow,probe,2.0,0,10,0.000
yellow,probe,4.0,0,10,0.000
yellow,probe,8.0,0,10,0.000
yellow,probe,16.0,0,10,0.000
