length_lines,fve,n_samples_at_full
1,0.596202,0
2,0.641151,0
3,0.671899,0
4,0.682065,0
5,0.688410,0
6,0.691749,0
7,0.694681,0
8,0.698148,0
9,0.699720,0
10,0.699346,0
11,0.701023,0
12,0.701094,0
13,0.701831,3
14,0.699515,4
15,0.697939,7
16,0.696518,11
17,0.694750,19
18,0.693021,24
19,0.689178,27
20,0.687128,32
21,0.685026,33
22,0.681165,37
23,0.678411,40
24,0.674910,46
25,0.669853,49
26,0.664293,49
27,0.659101,51
28,0.651984,55
29,0.648782,59
30,0.650698,66
31,0.650506,82
32,0.647880,94
33,0.646269,105
34,0.644752,112
35,0.645036,115
36,0.643704,117
37,0.642643,119
38,0.641811,120
39,0.641818,122
40,0.642367,123
41,0.641751,124
42,0.642127,124
43,0.640984,124
44,0.641382,124
45,0.639885,124
46,0.640855,124
47,0.641152,124
48,0.639515,126
49,0.639441,126
50,0.639369,126
51,0.639337,126
52,0.639226,126
53,0.639307,126
54,0.639254,126
55,0.639242,126
56,0.639013,126
57,0.639041,126
58,0.639034,126
59,0.638791,126
60,0.638810,126
61,0.638845,126
62,0.638813,127
63,0.638788,127
64,0.638768,127
65,0.638785,127
66,0.638797,127
67,0.638766,127
68,0.638784,127
69,0.638819,127
70,0.638787,127
71,0.638786,127
72,0.638801,127
73,0.638805,127
74,0.638802,127
75,0.638812,127
76,0.638812,127
77,0.638762,127
78,0.638753,127
79,0.638751,127
80,0.638763,127
81,0.638789,127
82,0.638782,127
83,0.638783,127
84,0.638734,127
85,0.638608,128
