length_lines,fve,n_samples_at_full
1,0.590630,0
2,0.642852,0
3,0.672842,0
4,0.682617,0
5,0.688996,0
6,0.692693,0
7,0.695366,0
8,0.698181,0
9,0.699162,0
10,0.698571,0
11,0.700106,0
12,0.699641,0
13,0.699384,6
14,0.699292,10
15,0.695057,21
16,0.694169,28
17,0.692459,41
18,0.689060,50
19,0.685799,56
20,0.684035,60
21,0.681479,67
22,0.676345,72
23,0.672547,79
24,0.669998,86
25,0.666173,89
26,0.662499,91
27,0.660962,95
28,0.657492,101
29,0.656110,111
30,0.654736,125
31,0.654389,141
32,0.651866,154
33,0.649850,163
34,0.647570,172
35,0.646702,176
36,0.645659,181
37,0.645075,185
38,0.644777,187
39,0.643365,191
40,0.643418,192
41,0.643493,194
42,0.643157,194
43,0.643854,194
44,0.644149,194
45,0.643635,195
46,0.643626,195
47,0.643529,195
48,0.643380,196
49,0.643427,196
50,0.643277,196
51,0.643264,196
52,0.643132,196
53,0.643175,196
54,0.643101,196
55,0.643115,197
56,0.642975,197
57,0.643005,197
58,0.643013,197
59,0.642832,197
60,0.642811,197
61,0.642807,197
62,0.642747,198
63,0.642750,198
64,0.642757,198
65,0.642766,198
66,0.642782,198
67,0.642761,198
68,0.642766,198
69,0.642794,198
70,0.642768,198
71,0.642760,198
72,0.642764,198
73,0.642763,198
74,0.642764,198
75,0.642789,198
76,0.642803,198
77,0.642767,198
78,0.642766,198
79,0.642762,198
80,0.642765,198
81,0.642777,198
82,0.642769,198
83,0.642770,198
84,0.642737,198
85,0.642646,199
86,0.642637,199
87,0.642636,199
88,0.642642,199
89,0.642644,199
90,0.642638,199
91,0.642635,199
92,0.642642,199
93,0.642637,199
94,0.642650,199
95,0.642644,199
96,0.642631,199
97,0.642626,199
98,0.642630,199
99,0.642616,199
100,0.642614,199
101,0.642607,199
102,0.642591,200
