length_tokens,fve,n_samples_at_full
1,-0.559942,0
2,-0.236239,0
3,-0.103806,0
4,0.008633,0
5,0.046556,0
6,0.087695,0
7,0.149817,0
8,0.235171,0
9,0.277440,0
10,0.337827,0
11,0.376716,0
12,0.398516,0
13,0.430182,0
14,0.453288,0
15,0.474467,0
16,0.497676,0
17,0.510038,0
18,0.522276,0
19,0.533709,0
20,0.552583,0
21,0.561923,0
22,0.567834,0
23,0.576947,0
24,0.582832,0
25,0.587462,0
26,0.590627,0
27,0.597656,0
28,0.604992,0
29,0.609919,0
30,0.615796,0
31,0.618166,0
32,0.619363,0
33,0.625192,0
34,0.629197,0
35,0.633063,0
36,0.638963,0
37,0.643687,0
38,0.648355,0
39,0.649919,0
40,0.654756,0
41,0.659368,0
42,0.662469,0
43,0.663466,0
44,0.666031,0
45,0.668494,0
46,0.670538,0
47,0.671343,0
48,0.672773,0
49,0.672250,0
50,0.673703,0
51,0.674328,0
52,0.677374,0
53,0.678561,0
54,0.679992,0
55,0.682253,0
56,0.682728,0
57,0.683647,0
58,0.684640,0
59,0.685178,0
60,0.686118,0
61,0.686915,0
62,0.687245,0
63,0.687260,0
64,0.687573,0
65,0.687870,0
66,0.688185,0
67,0.688573,0
68,0.688781,0
69,0.689093,0
70,0.689883,0
71,0.689803,0
72,0.689836,0
73,0.690278,0
74,0.690630,0
75,0.690783,0
76,0.691266,0
77,0.691595,0
78,0.692014,0
79,0.691548,0
80,0.692168,0
81,0.692487,0
82,0.692453,0
83,0.692607,0
84,0.691887,0
85,0.691931,0
86,0.692779,0
87,0.693307,0
88,0.692964,0
89,0.693860,0
90,0.694397,0
91,0.694115,0
92,0.694520,0
93,0.695381,0
94,0.695545,0
95,0.695936,0
96,0.696272,0
97,0.696211,0
98,0.695899,0
99,0.696158,0
100,0.696111,0
101,0.696534,0
102,0.696395,0
103,0.696950,0
104,0.697114,0
105,0.697374,0
106,0.698284,0
107,0.699075,0
108,0.700353,0
109,0.700340,1
110,0.700479,1
111,0.699793,1
112,0.700022,1
113,0.700526,1
114,0.700585,2
115,0.701199,2
116,0.700618,3
117,0.701233,4
118,0.701535,4
119,0.701856,6
120,0.702028,9
121,0.701918,10
122,0.701902,12
123,0.702954,12
124,0.703603,15
125,0.704666,17
126,0.705067,21
127,0.705389,24
128,0.705230,25
129,0.705280,29
130,0.705727,30
131,0.705757,32
132,0.706075,34
133,0.706370,37
134,0.705913,39
135,0.705806,41
136,0.705792,45
137,0.705843,45
138,0.705776,46
139,0.705859,49
140,0.705466,50
141,0.705524,56
142,0.705656,60
143,0.705724,63
144,0.705549,63
145,0.705788,65
146,0.705507,66
147,0.705406,67
148,0.705380,70
149,0.705394,73
150,0.705305,74
151,0.705649,74
152,0.705753,75
153,0.705440,79
154,0.705209,80
155,0.705025,80
156,0.704962,81
157,0.705323,85
158,0.705326,86
159,0.705326,86
160,0.705191,87
161,0.705163,87
162,0.705134,88
163,0.705338,88
164,0.705370,88
165,0.705359,91
166,0.705401,92
167,0.705305,92
168,0.705009,92
169,0.705133,92
170,0.705249,92
171,0.705174,93
172,0.705176,93
173,0.705148,94
174,0.704804,94
175,0.704892,94
176,0.705040,95
177,0.705255,96
178,0.705082,96
179,0.705090,97
180,0.704665,97
181,0.704807,97
182,0.704867,97
183,0.705217,97
184,0.705444,97
185,0.705342,97
186,0.705004,98
187,0.705173,98
188,0.705174,99
189,0.705169,99
190,0.705162,99
191,0.705148,99
192,0.705142,99
193,0.705130,99
194,0.705165,99
195,0.705141,99
196,0.705142,99
197,0.705104,99
198,0.705097,99
199,0.705085,99
200,0.705093,99
201,0.705072,99
202,0.705075,99
203,0.705069,99
204,0.705076,99
205,0.705084,99
206,0.705074,99
207,0.705085,99
208,0.705137,99
209,0.705138,99
210,0.705089,99
211,0.705092,99
212,0.705094,99
213,0.705092,100
