length_tokens,fve,n_samples_at_full
1,-0.504495,0
2,-0.205189,0
3,-0.064484,0
4,0.026136,0
5,0.093624,0
6,0.182251,0
7,0.226507,0
8,0.289591,0
9,0.339986,0
10,0.395574,0
11,0.449118,0
12,0.481847,0
13,0.503624,0
14,0.527038,0
15,0.541837,0
16,0.562587,0
17,0.572730,0
18,0.585659,0
19,0.590595,0
20,0.595422,0
21,0.600445,0
22,0.604006,0
23,0.605224,0
24,0.609919,0
25,0.613858,0
26,0.618131,0
27,0.620511,0
28,0.620247,0
29,0.627235,0
30,0.629832,0
31,0.639264,0
32,0.645309,0
33,0.646685,0
34,0.648204,0
35,0.651525,0
36,0.655038,0
37,0.657203,0
38,0.658890,0
39,0.659467,0
40,0.659563,0
41,0.662252,0
42,0.664089,0
43,0.664390,0
44,0.665723,0
45,0.666342,0
46,0.667652,0
47,0.668344,0
48,0.669592,0
49,0.670878,0
50,0.672324,0
51,0.672106,0
52,0.672627,0
53,0.674038,0
54,0.674982,0
55,0.676397,0
56,0.677585,0
57,0.679586,0
58,0.681165,0
59,0.681482,0
60,0.681839,0
61,0.682131,0
62,0.681976,0
63,0.682188,0
64,0.683010,0
65,0.683585,0
66,0.683798,0
67,0.684642,0
68,0.684977,0
69,0.685615,0
70,0.686143,0
71,0.686516,0
72,0.687077,0
73,0.687661,0
74,0.688170,0
75,0.688745,0
76,0.689144,0
77,0.688894,0
78,0.689122,0
79,0.689271,0
80,0.689725,0
81,0.690359,0
82,0.690643,0
83,0.691215,0
84,0.691593,0
85,0.691844,0
86,0.691865,0
87,0.691943,0
88,0.692006,0
89,0.692476,0
90,0.693012,0
91,0.693359,0
92,0.693502,0
93,0.693373,0
94,0.692496,0
95,0.693301,0
96,0.694329,0
97,0.694921,0
98,0.694991,0
99,0.694471,0
100,0.694419,0
101,0.694460,0
102,0.694364,0
103,0.694443,0
104,0.695258,0
105,0.695072,1
106,0.694316,1
107,0.694199,1
108,0.694193,2
109,0.694063,2
110,0.694084,2
111,0.694125,3
112,0.694093,4
113,0.694161,7
114,0.693971,8
115,0.693617,11
116,0.693228,14
117,0.693664,15
118,0.693837,17
119,0.694172,19
120,0.694505,21
121,0.694750,23
122,0.695013,24
123,0.694839,27
124,0.694639,31
125,0.694234,32
126,0.694135,35
127,0.693818,38
128,0.694219,41
129,0.694769,43
130,0.694889,48
131,0.694977,51
132,0.694868,53
133,0.694811,55
134,0.695117,57
135,0.695179,58
136,0.695033,62
137,0.694658,63
138,0.694543,63
139,0.694668,67
140,0.694889,70
141,0.694864,71
142,0.694668,74
143,0.694065,78
144,0.693691,83
145,0.693565,85
146,0.693783,88
147,0.694347,90
148,0.694508,92
149,0.694409,92
150,0.694086,92
151,0.693973,92
152,0.694025,92
153,0.693923,94
154,0.693692,95
155,0.693445,96
156,0.693569,97
157,0.693444,98
158,0.693382,99
159,0.693336,99
160,0.693252,100
161,0.693263,100
162,0.693287,101
163,0.693264,102
164,0.693309,102
165,0.693146,102
166,0.692995,102
167,0.692811,102
168,0.692745,103
169,0.692705,104
170,0.692665,104
171,0.692601,104
172,0.692551,104
173,0.692370,104
174,0.692348,104
175,0.692326,104
176,0.692302,105
177,0.692157,105
178,0.691822,105
179,0.691777,106
180,0.691843,106
181,0.691635,107
182,0.691771,107
183,0.691717,108
184,0.691743,109
185,0.691701,109
186,0.691523,109
187,0.691483,109
188,0.691381,109
189,0.691363,109
190,0.691108,109
191,0.691024,110
192,0.690831,111
193,0.690675,112
194,0.690672,112
195,0.690626,112
196,0.690466,113
197,0.690592,113
198,0.690425,113
199,0.690469,114
200,0.690639,115
201,0.690725,115
202,0.690753,115
203,0.690744,115
204,0.690614,115
205,0.690539,115
206,0.690581,115
207,0.690617,115
208,0.690584,115
209,0.690468,115
210,0.690607,115
211,0.690588,115
212,0.690687,115
213,0.690672,115
214,0.690587,115
215,0.690491,115
216,0.690498,115
217,0.690328,115
218,0.690351,116
219,0.690422,116
220,0.690389,118
221,0.690372,118
222,0.690406,118
223,0.690316,118
224,0.690181,118
225,0.690244,118
226,0.690274,118
227,0.690276,118
228,0.690268,118
229,0.690269,118
230,0.690185,118
231,0.690159,119
232,0.690167,119
233,0.690140,119
234,0.690163,119
235,0.690416,119
236,0.690414,119
237,0.690364,119
238,0.690480,119
239,0.690483,119
240,0.690468,119
241,0.690488,119
242,0.690377,119
243,0.690317,119
244,0.690291,119
245,0.690223,119
246,0.690146,119
247,0.690155,119
248,0.690221,119
249,0.690223,119
250,0.690210,119
251,0.690261,119
252,0.690268,119
253,0.690264,121
254,0.690178,123
255,0.690215,128
