length_tokens,fve,n_samples_at_full
1,-0.750911,0
2,-0.688085,0
3,-0.649742,0
4,-0.627253,0
5,-0.610822,0
6,-0.602280,0
7,-0.588716,0
8,-0.569789,0
9,-0.528337,0
10,-0.527992,0
11,-0.490991,0
12,-0.476982,0
13,-0.475006,0
14,-0.450948,0
15,-0.440644,0
16,-0.429579,0
17,-0.404560,0
18,-0.409242,0
19,-0.400983,0
20,-0.396536,0
21,-0.403609,0
22,-0.380789,0
23,-0.389476,0
24,-0.366763,0
25,-0.394976,0
26,-0.380601,0
27,-0.374129,0
28,-0.386919,0
29,-0.382715,0
30,-0.382561,0
31,-0.389126,0
32,-0.393413,0
33,-0.346173,0
34,-0.314429,0
35,-0.306097,0
36,-0.276041,0
37,-0.269656,0
38,-0.246546,0
39,-0.270587,0
40,-0.240875,0
41,-0.220290,0
42,-0.185906,0
43,-0.191559,0
44,-0.159212,0
45,-0.134624,0
46,-0.104318,0
47,-0.064472,0
48,-0.047105,0
49,-0.043059,0
50,-0.032907,0
51,-0.016047,0
52,0.027113,0
53,0.051925,0
54,0.068695,0
55,0.084002,0
56,0.103503,0
57,0.108364,0
58,0.133096,0
59,0.164953,0
60,0.168553,0
61,0.201303,0
62,0.221868,0
63,0.231672,0
64,0.236807,0
65,0.251535,0
66,0.255366,0
67,0.271336,0
68,0.276114,0
69,0.287643,0
70,0.277363,0
71,0.296869,0
72,0.288207,0
73,0.293647,0
74,0.270234,0
75,0.284923,0
76,0.291088,0
77,0.296107,0
78,0.337251,0
79,0.355402,0
80,0.412489,0
81,0.437758,0
82,0.465392,0
83,0.495345,0
84,0.514886,0
85,0.551660,0
86,0.569045,0
87,0.613616,0
88,0.651984,0
89,0.662250,0
90,0.669028,0
91,0.669573,0
92,0.675279,0
93,0.677002,0
94,0.680117,0
95,0.684842,0
96,0.685784,0
97,0.681855,0
98,0.688763,0
99,0.691291,0
100,0.695276,0
101,0.696775,0
102,0.695706,0
103,0.694862,0
104,0.695605,0
105,0.696845,0
106,0.697879,0
107,0.699289,0
108,0.703008,0
109,0.698862,0
110,0.704073,0
111,0.703807,0
112,0.700287,0
113,0.701702,0
114,0.709147,0
115,0.708031,0
116,0.716069,0
117,0.718204,0
118,0.718985,0
119,0.719247,0
120,0.721567,0
121,0.722293,0
122,0.725605,0
123,0.726756,0
124,0.727918,0
125,0.727945,0
126,0.728216,0
127,0.728478,0
128,0.729503,0
129,0.730268,1
130,0.732031,3
131,0.731861,4
132,0.731957,10
133,0.732275,22
134,0.732056,35
135,0.732080,49
136,0.732554,70
137,0.732266,84
138,0.732116,95
139,0.732327,99
140,0.732085,99
141,0.732026,99
142,0.732148,99
143,0.731841,99
144,0.731745,99
145,0.732001,99
146,0.731752,99
147,0.731674,99
148,0.731817,99
149,0.731474,99
150,0.731285,99
151,0.731388,99
152,0.731190,99
153,0.731128,99
154,0.731208,99
155,0.730939,99
156,0.730801,99
157,0.730808,99
158,0.730538,99
159,0.730390,99
160,0.730447,99
161,0.730080,99
162,0.729905,99
163,0.729992,99
164,0.729792,99
165,0.729708,99
166,0.729803,99
167,0.729593,99
168,0.729514,99
169,0.729578,99
170,0.729428,99
171,0.729359,99
172,0.729475,99
173,0.729327,99
174,0.729210,99
175,0.729205,99
176,0.729064,99
177,0.729008,99
178,0.729093,99
179,0.729045,99
180,0.728931,99
181,0.728921,99
182,0.728847,99
183,0.728831,99
184,0.728930,99
185,0.728800,99
186,0.728679,99
187,0.728595,99
188,0.728474,99
189,0.728380,99
190,0.728422,99
191,0.728206,99
192,0.728088,99
193,0.728109,99
194,0.727960,99
195,0.727845,99
196,0.727943,99
197,0.727883,99
198,0.727773,99
199,0.727826,99
200,0.727732,99
201,0.727714,99
202,0.727843,99
203,0.727767,99
204,0.727760,99
205,0.727793,99
206,0.727686,99
207,0.727555,99
208,0.727641,99
209,0.727538,99
210,0.727511,99
211,0.727599,99
212,0.727461,99
213,0.727381,99
214,0.727492,99
215,0.727390,99
216,0.727346,99
217,0.727427,99
218,0.727348,99
219,0.727254,99
220,0.727406,99
221,0.727387,99
222,0.727319,99
223,0.727361,99
224,0.727301,99
225,0.727238,99
226,0.727277,99
227,0.727246,99
228,0.727201,99
229,0.727306,99
230,0.727293,99
231,0.727203,99
232,0.727336,99
233,0.727245,99
234,0.727208,99
235,0.727215,99
236,0.727187,99
237,0.727101,99
238,0.727161,99
239,0.727119,99
240,0.727160,99
241,0.727324,99
242,0.727360,99
243,0.727267,99
244,0.727297,99
245,0.727258,99
246,0.727211,99
247,0.727246,99
248,0.727228,99
249,0.727099,99
250,0.727183,99
251,0.727108,99
252,0.727117,100
