length_tokens,fve,n_samples_at_full
1,-0.407738,0
2,-0.259378,0
3,-0.237540,0
4,-0.092899,0
5,-0.024260,0
6,0.043689,0
7,0.071152,0
8,0.099248,0
9,0.119193,0
10,0.133367,0
11,0.152930,0
12,0.172329,0
13,0.193210,0
14,0.224580,0
15,0.239617,0
16,0.251541,0
17,0.271828,0
18,0.285199,0
19,0.298134,0
20,0.309250,0
21,0.321695,0
22,0.327587,0
23,0.334803,0
24,0.346022,0
25,0.353979,0
26,0.359460,0
27,0.370143,0
28,0.373111,0
29,0.376298,0
30,0.377605,0
31,0.379562,0
32,0.380498,0
33,0.383577,0
34,0.385813,0
35,0.388814,0
36,0.393662,0
37,0.396971,0
38,0.401610,0
39,0.404601,0
40,0.410649,0
41,0.414168,0
42,0.417318,0
43,0.420548,0
44,0.423076,0
45,0.425011,0
46,0.427836,0
47,0.429420,0
48,0.430706,0
49,0.432410,0
50,0.434759,0
51,0.437335,0
52,0.441512,0
53,0.443260,0
54,0.443918,0
55,0.444384,0
56,0.444207,0
57,0.444103,0
58,0.445824,0
59,0.449921,0
60,0.451073,0
61,0.452845,0
62,0.453798,0
63,0.454675,0
64,0.454609,0
65,0.455486,0
66,0.457978,0
67,0.460247,0
68,0.461051,0
69,0.462574,0
70,0.463623,0
71,0.462796,0
72,0.464404,0
73,0.464465,0
74,0.464578,0
75,0.465742,0
76,0.466067,0
77,0.465896,0
78,0.466226,0
79,0.466676,0
80,0.467410,0
81,0.468628,0
82,0.469081,0
83,0.469534,0
84,0.468817,0
85,0.468941,0
86,0.468652,0
87,0.469413,0
88,0.469898,0
89,0.470014,0
90,0.470223,0
91,0.470925,0
92,0.470889,0
93,0.471084,0
94,0.471262,0
95,0.472754,0
96,0.474180,0
97,0.475598,0
98,0.476209,0
99,0.477369,0
100,0.477773,0
101,0.478763,0
102,0.478181,0
103,0.477543,0
104,0.477482,0
105,0.477841,0
106,0.480012,0
107,0.479935,2
108,0.479889,2
109,0.479421,2
110,0.478947,2
111,0.479387,2
112,0.480351,3
113,0.481737,4
114,0.481467,6
115,0.481348,6
116,0.481263,7
117,0.482328,13
118,0.482678,14
119,0.483197,18
120,0.482881,20
121,0.482460,21
122,0.481481,23
123,0.480876,26
124,0.480420,32
125,0.480349,39
126,0.480372,43
127,0.479370,45
128,0.478398,45
129,0.478269,50
130,0.477787,53
131,0.477322,55
132,0.476990,59
133,0.476395,68
134,0.475841,69
135,0.475771,71
136,0.475357,75
137,0.475126,83
138,0.474380,85
139,0.474550,89
140,0.474391,90
141,0.474599,92
142,0.473972,93
143,0.473942,95
144,0.473390,98
145,0.473111,100
146,0.473142,103
147,0.473198,105
148,0.473047,105
149,0.472999,107
150,0.472982,110
151,0.473005,110
152,0.473279,112
153,0.472681,113
154,0.472352,113
155,0.472190,113
156,0.472097,113
157,0.471069,113
158,0.471105,113
159,0.470905,113
160,0.470846,113
161,0.470247,113
162,0.470211,113
163,0.468701,113
164,0.468324,113
165,0.468921,113
166,0.468810,113
167,0.468609,113
168,0.468731,113
169,0.468095,113
170,0.468198,113
171,0.467981,113
172,0.468157,114
173,0.468084,114
174,0.468191,114
175,0.468163,114
176,0.467611,114
177,0.466485,114
178,0.466200,114
179,0.465944,114
180,0.465600,114
181,0.466262,114
182,0.466823,114
183,0.466260,115
184,0.466576,115
185,0.465926,115
186,0.465833,115
187,0.464595,115
188,0.464756,115
189,0.462992,115
190,0.463365,115
191,0.459623,115
192,0.459989,115
193,0.457815,115
194,0.458773,115
195,0.447772,115
196,0.449304,115
197,0.447829,115
198,0.448387,115
199,0.449315,115
200,0.451534,115
201,0.448535,115
202,0.449823,115
203,0.448444,115
204,0.448807,115
205,0.448739,115
206,0.450689,115
207,0.447859,115
208,0.449007,115
209,0.446183,115
210,0.446616,115
211,0.444470,115
212,0.445662,115
213,0.443828,115
214,0.443955,115
215,0.444350,115
216,0.443272,115
217,0.443508,115
218,0.443788,115
219,0.443812,115
220,0.444549,115
221,0.444628,115
222,0.447044,115
223,0.445270,115
224,0.450856,115
225,0.447530,115
226,0.450572,115
227,0.443595,115
228,0.447841,115
229,0.444613,115
230,0.448653,115
231,0.446881,115
232,0.451785,115
233,0.444426,115
234,0.448850,115
235,0.442441,115
236,0.444307,115
237,0.445188,115
238,0.450644,115
239,0.444191,115
240,0.446053,115
241,0.442725,115
242,0.444032,115
243,0.442959,115
244,0.444901,115
245,0.443486,115
246,0.444182,115
247,0.443428,115
248,0.448168,115
249,0.443165,115
250,0.446025,115
251,0.442210,115
252,0.443307,115
253,0.440766,115
254,0.441379,115
255,0.439756,116
256,0.440558,128
