length_tokens,fve,n_samples_at_full
1,-0.311091,0
2,-0.014993,0
3,0.067912,0
4,0.198573,0
5,0.274558,0
6,0.328355,0
7,0.373177,0
8,0.399238,0
9,0.423489,0
10,0.443225,0
11,0.459455,0
12,0.483050,0
13,0.508428,0
14,0.521590,0
15,0.541158,0
16,0.553191,0
17,0.560764,0
18,0.565923,0
19,0.574718,0
20,0.580165,0
21,0.589783,0
22,0.596779,0
23,0.603536,0
24,0.605182,0
25,0.609423,0
26,0.609487,0
27,0.614682,0
28,0.618079,0
29,0.620730,0
30,0.624535,0
31,0.626565,0
32,0.630105,0
33,0.632765,0
34,0.634902,0
35,0.636884,0
36,0.638992,0
37,0.640742,0
38,0.641168,0
39,0.642088,0
40,0.644055,0
41,0.645240,0
42,0.646627,0
43,0.647571,0
44,0.649116,0
45,0.650268,0
46,0.651343,0
47,0.653009,0
48,0.653658,0
49,0.653822,0
50,0.656012,0
51,0.656807,0
52,0.656283,0
53,0.657393,0
54,0.658614,0
55,0.658213,0
56,0.660190,0
57,0.661112,0
58,0.661049,0
59,0.662070,0
60,0.663783,0
61,0.665016,0
62,0.665943,0
63,0.666987,0
64,0.667798,0
65,0.668436,0
66,0.668894,0
67,0.669728,0
68,0.670264,0
69,0.670750,0
70,0.671810,0
71,0.671350,0
72,0.671801,0
73,0.672198,0
74,0.672664,0
75,0.673129,1
76,0.673209,1
77,0.672935,1
78,0.672819,1
79,0.674129,1
80,0.674517,1
81,0.674881,1
82,0.674753,1
83,0.675250,1
84,0.675826,1
85,0.676271,1
86,0.677076,1
87,0.677089,1
88,0.677444,1
89,0.678120,1
90,0.678246,1
91,0.678248,2
92,0.679156,2
93,0.678742,2
94,0.678645,3
95,0.678193,5
96,0.678631,5
97,0.678398,6
98,0.678099,7
99,0.677964,8
100,0.677979,9
101,0.679962,11
102,0.679876,11
103,0.680018,12
104,0.680241,13
105,0.680541,14
106,0.680972,14
107,0.681159,16
108,0.681178,18
109,0.680983,20
110,0.681263,21
111,0.681370,24
112,0.681506,24
113,0.681892,27
114,0.682259,29
115,0.682336,30
116,0.681759,31
117,0.681238,32
118,0.680818,32
119,0.680292,32
120,0.680274,33
121,0.680207,33
122,0.680486,35
123,0.680305,35
124,0.679967,36
125,0.680508,36
126,0.680214,36
127,0.680345,36
128,0.680593,36
129,0.681128,36
130,0.680901,37
131,0.681200,37
132,0.680982,37
133,0.680898,37
134,0.680479,37
135,0.680288,37
136,0.680451,37
137,0.680255,37
138,0.680638,37
139,0.680782,37
140,0.680648,37
141,0.680255,37
142,0.679957,37
143,0.680156,37
144,0.679638,37
145,0.679605,38
146,0.678999,38
147,0.679419,39
148,0.679755,41
149,0.679321,41
150,0.678324,41
151,0.678213,41
152,0.677496,41
153,0.677124,43
154,0.677059,45
155,0.677104,46
156,0.677524,46
157,0.677546,47
158,0.677274,48
159,0.677018,48
160,0.676578,48
161,0.676090,49
162,0.675535,49
163,0.674738,49
164,0.674196,51
165,0.674061,51
166,0.673911,51
167,0.673030,51
168,0.673399,51
169,0.671491,51
170,0.671207,52
171,0.669187,54
172,0.668774,54
173,0.668148,54
174,0.667617,54
175,0.665928,56
176,0.665648,56
177,0.665924,57
178,0.666175,59
179,0.666255,59
180,0.666182,59
181,0.665713,59
182,0.665521,59
183,0.664247,59
184,0.664523,61
185,0.664393,62
186,0.663899,62
187,0.663246,62
188,0.662544,64
189,0.662624,64
190,0.662760,64
191,0.662504,64
192,0.662312,64
193,0.662008,64
194,0.662136,65
195,0.662456,65
196,0.662440,65
197,0.662771,67
198,0.662271,67
199,0.661744,67
200,0.661953,67
201,0.661810,67
202,0.661950,67
203,0.661832,67
204,0.661242,68
205,0.661398,68
206,0.661397,68
207,0.660724,69
208,0.659853,69
209,0.652496,69
210,0.651527,69
211,0.648901,70
212,0.645981,70
213,0.645046,70
214,0.644006,70
215,0.643699,70
216,0.643941,70
217,0.644288,70
218,0.644572,70
219,0.644832,70
220,0.644316,70
221,0.643702,70
222,0.644184,71
223,0.645069,71
224,0.647267,71
225,0.647373,72
226,0.647436,72
227,0.645617,72
228,0.644797,72
229,0.645080,72
230,0.644698,73
231,0.645013,73
232,0.644066,73
233,0.643738,73
234,0.646509,73
235,0.649030,73
236,0.650918,74
237,0.647526,74
238,0.646246,75
239,0.646340,75
240,0.646442,75
241,0.653127,75
242,0.651689,75
243,0.649398,75
244,0.645751,75
245,0.645499,75
246,0.648082,75
247,0.651174,76
248,0.654925,76
249,0.654795,77
250,0.654796,78
251,0.653087,78
252,0.651807,79
253,0.651480,82
254,0.652270,86
255,0.653817,93
256,0.648256,100
