length_tokens,fve,n_samples_at_full
1,-0.329582,0
2,-0.073426,0
3,0.047012,0
4,0.096368,0
5,0.187999,0
6,0.265493,0
7,0.310351,0
8,0.341412,0
9,0.361731,0
10,0.384972,0
11,0.406096,0
12,0.430015,0
13,0.452780,0
14,0.472828,0
15,0.485702,0
16,0.496911,0
17,0.511743,0
18,0.526204,0
19,0.538806,0
20,0.547067,0
21,0.553773,0
22,0.558976,0
23,0.567476,0
24,0.575349,0
25,0.579143,0
26,0.583364,0
27,0.587698,0
28,0.591689,0
29,0.594945,0
30,0.599362,0
31,0.601383,0
32,0.606575,0
33,0.607105,0
34,0.609150,0
35,0.608423,0
36,0.609101,0
37,0.609844,0
38,0.611218,0
39,0.612648,0
40,0.613620,0
41,0.616590,0
42,0.617225,0
43,0.620408,0
44,0.622588,0
45,0.625121,0
46,0.625760,0
47,0.627517,0
48,0.629474,0
49,0.630935,0
50,0.632836,0
51,0.633606,0
52,0.635970,0
53,0.636399,0
54,0.637505,0
55,0.639089,0
56,0.640737,0
57,0.642361,0
58,0.643649,0
59,0.644687,0
60,0.645380,0
61,0.646059,0
62,0.646990,0
63,0.647719,0
64,0.648311,0
65,0.648120,0
66,0.648307,0
67,0.649822,0
68,0.650768,0
69,0.651970,0
70,0.652488,0
71,0.652634,0
72,0.652921,0
73,0.652847,0
74,0.652495,0
75,0.652983,0
76,0.653810,0
77,0.654166,0
78,0.654735,0
79,0.655005,0
80,0.655879,0
81,0.655596,0
82,0.655990,0
83,0.655619,0
84,0.655520,0
85,0.658533,0
86,0.658721,0
87,0.658954,0
88,0.659438,0
89,0.659336,0
90,0.659496,0
91,0.660448,0
92,0.660438,0
93,0.659921,0
94,0.659731,0
95,0.659445,0
96,0.658750,0
97,0.658641,0
98,0.658805,0
99,0.659429,0
100,0.659719,0
101,0.659200,0
102,0.658560,0
103,0.658468,0
104,0.659191,0
105,0.659697,0
106,0.660463,1
107,0.660417,1
108,0.661347,2
109,0.661657,2
110,0.662227,3
111,0.663373,3
112,0.662668,4
113,0.662480,4
114,0.662672,7
115,0.662882,8
116,0.662999,11
117,0.663274,13
118,0.663287,13
119,0.663256,14
120,0.662957,14
121,0.663423,16
122,0.663783,18
123,0.663550,19
124,0.663805,23
125,0.663948,23
126,0.664222,25
127,0.664155,26
128,0.664113,29
129,0.664108,33
130,0.664523,35
131,0.664691,38
132,0.665189,39
133,0.665301,40
134,0.665119,41
135,0.664980,42
136,0.665144,44
137,0.665434,44
138,0.665318,47
139,0.665052,49
140,0.665002,52
141,0.664817,53
142,0.664915,54
143,0.665029,54
144,0.665058,55
145,0.664686,55
146,0.664570,55
147,0.664123,55
148,0.664196,55
149,0.663728,55
150,0.663598,55
151,0.663552,56
152,0.662942,58
153,0.662754,58
154,0.662922,58
155,0.663273,58
156,0.664312,58
157,0.664417,58
158,0.662932,58
159,0.663352,58
160,0.663553,58
161,0.663113,58
162,0.661665,58
163,0.661176,59
164,0.661007,60
165,0.660791,60
166,0.660721,60
167,0.659576,60
168,0.659235,60
169,0.657964,60
170,0.657461,60
171,0.657062,60
172,0.657345,60
173,0.657577,61
174,0.657798,62
175,0.658300,62
176,0.658580,62
177,0.658571,62
178,0.658810,62
179,0.658672,62
180,0.658832,62
181,0.658444,62
182,0.658440,62
183,0.658221,62
184,0.657451,62
185,0.657446,63
186,0.657245,64
187,0.658355,65
188,0.658585,65
189,0.658861,66
190,0.658351,66
191,0.658400,66
192,0.658085,66
193,0.657933,66
194,0.659160,66
195,0.659493,66
196,0.659705,66
197,0.659807,67
198,0.659709,67
199,0.660941,67
200,0.660242,67
201,0.660643,67
202,0.661423,68
203,0.662723,68
204,0.662822,68
205,0.661939,69
206,0.662052,69
207,0.662004,69
208,0.661803,69
209,0.661613,69
210,0.661573,69
211,0.661459,69
212,0.661357,69
213,0.659877,69
214,0.660178,69
215,0.660927,69
216,0.661070,69
217,0.659529,69
218,0.659745,69
219,0.659508,69
220,0.659689,69
221,0.660077,69
222,0.659988,70
223,0.660156,70
224,0.658562,71
225,0.659620,71
226,0.658463,71
227,0.658338,72
228,0.658160,73
229,0.656925,73
230,0.658414,74
231,0.657905,74
232,0.656861,74
233,0.656532,74
234,0.656253,74
235,0.656269,75
236,0.656682,76
237,0.656850,76
238,0.657404,76
239,0.657377,76
240,0.657461,76
241,0.657481,76
242,0.657823,76
243,0.659411,78
244,0.659866,78
245,0.658200,78
246,0.657560,78
247,0.656580,79
248,0.653844,80
249,0.653552,81
250,0.652935,84
251,0.653466,86
252,0.652995,86
253,0.652710,88
254,0.652573,93
255,0.652782,97
256,0.653370,100
