trait,strength,n,appearance_rate,mean_rank,mean_norm_rank,mean_bullets,cjk_rate
sadness,0,24,0.0000,nan,nan,10.00,0.0417
sadness,1,24,0.0000,nan,nan,10.00,0.0000
sadness,2,24,0.0833,5.0000,0.4444,10.00,0.0000
sadness,3,24,0.2500,5.5000,0.5000,10.00,0.0000
sadness,4,24,0.4167,3.9000,0.3222,10.00,0.0000
sadness,5,24,0.0417,1.0000,0.0000,10.00,0.0417
sycophancy,0,24,0.0000,nan,nan,10.00,0.0417
sycophancy,1,24,0.0000,nan,nan,10.00,0.0417
sycophancy,2,24,0.0417,7.0000,0.6667,10.00,0.0000
sycophancy,3,24,0.0000,nan,nan,10.00,0.0000
sycophancy,4,24,0.0417,3.0000,0.2222,10.00,0.0000
sycophancy,5,24,0.0417,2.0000,0.1111,10.00,0.0000
tofu,0,24,0.0000,nan,nan,10.00,0.0417
tofu,1,24,0.0000,nan,nan,10.04,0.0000
tofu,2,24,0.0000,nan,nan,10.04,0.0000
tofu,3,24,0.0000,nan,nan,10.00,0.0833
tofu,4,24,0.0000,nan,nan,10.08,0.0000
tofu,5,24,0.0000,nan,nan,10.00,0.0417
yellow,0,24,0.0000,nan,nan,10.00,0.0417
yellow,1,24,0.0000,nan,nan,10.00,0.0000
yellow,2,24,0.0000,nan,nan,10.04,0.0000
yellow,3,24,0.0000,nan,nan,10.00,0.0000
yellow,4,24,0.0000,nan,nan,10.00,0.0417
yellow,5,24,0.0000,nan,nan,10.00,0.0417
