length_tokens,fve,n_samples_at_full
1,-0.331760,0
2,-0.073039,0
3,0.043830,0
4,0.103563,0
5,0.183897,0
6,0.250744,0
7,0.300945,0
8,0.344812,0
9,0.372093,0
10,0.394743,0
11,0.415618,0
12,0.435266,0
13,0.455616,0
14,0.474703,0
15,0.491246,0
16,0.503619,0
17,0.520474,0
18,0.533132,0
19,0.541149,0
20,0.550402,0
21,0.558550,0
22,0.567338,0
23,0.571396,0
24,0.577863,0
25,0.584920,0
26,0.591139,0
27,0.596639,0
28,0.600475,0
29,0.603878,0
30,0.606122,0
31,0.610244,0
32,0.612728,0
33,0.614943,0
34,0.617571,0
35,0.620767,0
36,0.622499,0
37,0.623943,0
38,0.627154,0
39,0.629609,0
40,0.631929,0
41,0.636329,0
42,0.637689,0
43,0.640795,0
44,0.641868,0
45,0.643792,0
46,0.645818,0
47,0.646983,0
48,0.647874,0
49,0.650431,0
50,0.652044,0
51,0.653084,0
52,0.653603,0
53,0.654865,0
54,0.656115,0
55,0.656459,0
56,0.657227,0
57,0.656848,0
58,0.657514,0
59,0.658745,0
60,0.660010,0
61,0.660259,0
62,0.660780,0
63,0.661276,0
64,0.662095,0
65,0.662706,0
66,0.663562,0
67,0.664204,0
68,0.665265,0
69,0.666476,0
70,0.666841,0
71,0.667691,0
72,0.670006,0
73,0.670206,0
74,0.670243,0
75,0.671019,0
76,0.671137,0
77,0.671367,0
78,0.671721,0
79,0.671239,0
80,0.670767,0
81,0.670681,0
82,0.671310,0
83,0.671173,0
84,0.671946,0
85,0.671748,0
86,0.671517,0
87,0.672226,0
88,0.672188,0
89,0.672105,0
90,0.672567,0
91,0.673058,0
92,0.674176,0
93,0.674534,0
94,0.675250,0
95,0.675442,0
96,0.675356,0
97,0.675039,0
98,0.675259,0
99,0.675428,0
100,0.675701,0
101,0.675303,0
102,0.674985,0
103,0.674984,0
104,0.674449,0
105,0.674333,0
106,0.676078,1
107,0.676594,2
108,0.677217,3
109,0.677315,4
110,0.677669,4
111,0.677681,4
112,0.677318,4
113,0.676825,4
114,0.677194,4
115,0.677564,4
116,0.678731,5
117,0.679248,5
118,0.679261,5
119,0.678898,5
120,0.678834,5
121,0.678806,6
122,0.678513,7
123,0.678350,8
124,0.678816,10
125,0.678099,12
126,0.677424,13
127,0.677229,13
128,0.677114,14
129,0.676894,16
130,0.677020,19
131,0.676846,20
132,0.676557,20
133,0.676828,21
134,0.676982,23
135,0.676427,23
136,0.676241,25
137,0.676167,30
138,0.676092,31
139,0.675873,31
140,0.676325,31
141,0.676590,32
142,0.676489,32
143,0.675866,32
144,0.676005,35
145,0.675386,35
146,0.674692,37
147,0.674282,37
148,0.674426,37
149,0.674029,37
150,0.674220,38
151,0.674213,38
152,0.673794,39
153,0.673862,41
154,0.673947,41
155,0.673596,41
156,0.673736,41
157,0.673537,41
158,0.673204,41
159,0.673037,42
160,0.672684,43
161,0.672166,44
162,0.672144,44
163,0.672623,44
164,0.672505,44
165,0.672372,44
166,0.672247,44
167,0.671495,45
168,0.670446,46
169,0.670007,46
170,0.669779,46
171,0.669228,46
172,0.668865,47
173,0.668185,47
174,0.667818,47
175,0.667767,47
176,0.667473,47
177,0.667138,47
178,0.667104,48
179,0.667130,48
180,0.664863,48
181,0.663552,48
182,0.662801,48
183,0.664043,48
184,0.663518,48
185,0.662493,48
186,0.662566,48
187,0.663166,48
188,0.662956,48
189,0.662414,48
190,0.661740,50
191,0.661037,50
192,0.660332,50
193,0.659899,50
194,0.659956,50
195,0.660620,50
196,0.660738,50
197,0.659180,50
198,0.658542,50
199,0.656782,50
200,0.657055,51
201,0.657124,51
202,0.657121,51
203,0.657502,51
204,0.656344,51
205,0.655981,51
206,0.655493,51
207,0.654558,51
208,0.653924,51
209,0.653188,51
210,0.652192,51
211,0.652250,52
212,0.651585,52
213,0.651200,52
214,0.650527,52
215,0.649829,52
216,0.649714,52
217,0.648497,52
218,0.647705,52
219,0.647753,52
220,0.647210,52
221,0.647072,52
222,0.646096,52
223,0.646284,53
224,0.646545,53
225,0.647354,53
226,0.647587,53
227,0.647144,54
228,0.645987,54
229,0.645718,55
230,0.645158,55
231,0.644867,56
232,0.644614,56
233,0.644766,57
234,0.643651,57
235,0.642519,57
236,0.642071,57
237,0.641717,57
238,0.641560,57
239,0.641679,58
240,0.640889,58
241,0.638626,58
242,0.636388,58
243,0.637730,58
244,0.637720,58
245,0.637127,58
246,0.637845,58
247,0.633530,58
248,0.633480,59
249,0.632324,60
250,0.629630,63
251,0.628043,66
252,0.633181,69
253,0.618337,72
254,0.617794,81
255,0.617661,90
256,0.617552,99
257,0.617468,100
