length_tokens,fve,n_samples_at_full
1,-0.876969,0
2,-0.787483,0
3,-0.778659,0
4,-0.767728,0
5,-0.739418,0
6,-0.697446,0
7,-0.643555,0
8,-0.624174,0
9,-0.592264,0
10,-0.564865,0
11,-0.547408,0
12,-0.520556,0
13,-0.506235,0
14,-0.490242,0
15,-0.461484,0
16,-0.441971,0
17,-0.434589,0
18,-0.431020,0
19,-0.411538,0
20,-0.421805,0
21,-0.407709,0
22,-0.412886,0
23,-0.420863,0
24,-0.422338,0
25,-0.416524,0
26,-0.422095,0
27,-0.404325,0
28,-0.397336,0
29,-0.390402,0
30,-0.371991,0
31,-0.362274,0
32,-0.352726,0
33,-0.353975,0
34,-0.323326,0
35,-0.320182,0
36,-0.293369,0
37,-0.281427,0
38,-0.255972,0
39,-0.251691,0
40,-0.248023,0
41,-0.232396,0
42,-0.213074,0
43,-0.201555,0
44,-0.180567,0
45,-0.172492,0
46,-0.150367,0
47,-0.128955,0
48,-0.131846,0
49,-0.129074,0
50,-0.126599,0
51,-0.101026,0
52,-0.087139,0
53,-0.087352,0
54,-0.074301,0
55,-0.063263,0
56,-0.049653,0
57,-0.021763,0
58,-0.010939,0
59,-0.004968,0
60,0.014298,0
61,0.039447,0
62,0.056565,0
63,0.065483,0
64,0.076830,0
65,0.071241,0
66,0.087301,0
67,0.098522,0
68,0.108625,0
69,0.119282,0
70,0.110719,0
71,0.150474,0
72,0.169283,0
73,0.182741,0
74,0.212666,0
75,0.230575,0
76,0.240333,0
77,0.248405,0
78,0.282721,0
79,0.297278,0
80,0.320034,0
81,0.327227,0
82,0.344505,0
83,0.360523,0
84,0.374060,0
85,0.401205,0
86,0.412243,0
87,0.432086,0
88,0.437305,0
89,0.443571,0
90,0.448257,0
91,0.467603,0
92,0.464821,0
93,0.475662,0
94,0.483451,0
95,0.482331,0
96,0.490945,0
97,0.499057,0
98,0.500722,0
99,0.510959,0
100,0.516496,0
101,0.518556,0
102,0.521951,0
103,0.517942,0
104,0.529287,0
105,0.533543,0
106,0.532470,0
107,0.539725,0
108,0.540677,0
109,0.542401,0
110,0.557320,0
111,0.557260,0
112,0.567282,0
113,0.568669,0
114,0.574285,0
115,0.576635,0
116,0.570153,0
117,0.577224,0
118,0.581788,0
119,0.581881,0
120,0.594152,0
121,0.594242,0
122,0.593614,0
123,0.595055,0
124,0.597548,0
125,0.605437,0
126,0.608297,0
127,0.609248,0
128,0.613495,0
129,0.617159,0
130,0.619519,0
131,0.620464,0
132,0.617785,0
133,0.614828,0
134,0.614653,1
135,0.611234,2
136,0.606980,2
137,0.609564,2
138,0.611130,2
139,0.604990,4
140,0.607875,6
141,0.605415,6
142,0.606542,6
143,0.603617,9
144,0.596233,11
145,0.596344,12
146,0.599380,15
147,0.600663,15
148,0.598808,19
149,0.597933,22
150,0.596303,23
151,0.593962,25
152,0.594027,25
153,0.598100,26
154,0.602581,28
155,0.605332,30
156,0.605556,34
157,0.602671,36
158,0.598989,38
159,0.595537,38
160,0.592305,40
161,0.593120,41
162,0.589263,44
163,0.586643,46
164,0.587941,51
165,0.587725,52
166,0.588066,55
167,0.582568,58
168,0.581030,60
169,0.579000,61
170,0.578658,62
171,0.579940,63
172,0.579936,64
173,0.580119,64
174,0.577937,66
175,0.588521,66
176,0.578007,66
177,0.577283,67
178,0.578676,70
179,0.579819,70
180,0.579903,70
181,0.579780,70
182,0.577569,72
183,0.577603,74
184,0.573966,77
185,0.576351,79
186,0.577528,79
187,0.577807,80
188,0.577978,80
189,0.577652,80
190,0.577242,81
191,0.574717,83
192,0.573923,84
193,0.573671,88
194,0.575026,88
195,0.574673,88
196,0.573157,91
197,0.573350,92
198,0.573448,93
199,0.572039,94
200,0.573327,94
201,0.571445,94
202,0.571851,94
203,0.571723,94
204,0.571756,96
205,0.572424,96
206,0.572815,96
207,0.573311,96
208,0.573500,96
209,0.573280,97
210,0.573461,98
211,0.573151,98
212,0.573603,98
213,0.574377,98
214,0.573907,99
215,0.574062,99
216,0.573585,99
217,0.574384,99
218,0.575186,99
219,0.575271,100
