length_tokens,fve,n_samples_at_full
1,-0.308734,0
2,-0.206445,0
3,-0.161988,0
4,-0.084894,0
5,-0.043314,0
6,-0.014259,0
7,-0.009418,0
8,0.006622,0
9,0.043656,0
10,0.070245,0
11,0.091949,0
12,0.114781,0
13,0.123100,0
14,0.130283,0
15,0.139922,0
16,0.155379,0
17,0.168296,0
18,0.181990,0
19,0.187040,0
20,0.195605,0
21,0.203895,0
22,0.211141,0
23,0.212762,0
24,0.225893,0
25,0.227688,0
26,0.235479,0
27,0.240058,0
28,0.242231,0
29,0.244493,0
30,0.247769,0
31,0.249516,0
32,0.253038,0
33,0.257312,0
34,0.260035,0
35,0.259762,0
36,0.263191,0
37,0.267935,0
38,0.271214,0
39,0.276921,0
40,0.279577,0
41,0.282771,0
42,0.283517,0
43,0.283943,0
44,0.287343,0
45,0.291748,0
46,0.299399,0
47,0.301208,0
48,0.303268,0
49,0.302120,0
50,0.303299,0
51,0.305799,0
52,0.305300,0
53,0.307943,0
54,0.309045,0
55,0.313101,0
56,0.313097,0
57,0.314195,0
58,0.314949,0
59,0.315401,0
60,0.314479,0
61,0.313959,0
62,0.314562,0
63,0.314776,0
64,0.315981,0
65,0.315809,0
66,0.315082,0
67,0.315461,0
68,0.313589,0
69,0.314839,0
70,0.316388,0
71,0.317401,0
72,0.318317,0
73,0.317196,0
74,0.317195,0
75,0.314931,0
76,0.314980,0
77,0.315422,0
78,0.313346,0
79,0.314212,0
80,0.315164,0
81,0.315695,0
82,0.315126,0
83,0.316624,0
84,0.318442,0
85,0.320119,0
86,0.320466,0
87,0.322770,0
88,0.321706,0
89,0.321036,0
90,0.322069,0
91,0.321694,0
92,0.321679,0
93,0.322128,0
94,0.323215,0
95,0.325901,0
96,0.326909,0
97,0.327282,0
98,0.327810,0
99,0.326147,0
100,0.327524,0
101,0.329498,0
102,0.331649,0
103,0.332779,0
104,0.333252,1
105,0.334255,1
106,0.332865,1
107,0.333115,2
108,0.333955,2
109,0.335802,2
110,0.337235,2
111,0.336585,2
112,0.337300,3
113,0.336584,4
114,0.336884,4
115,0.338253,4
116,0.339125,5
117,0.340279,6
118,0.339611,6
119,0.338274,7
120,0.336880,7
121,0.337867,7
122,0.338001,7
123,0.338328,7
124,0.338613,7
125,0.338392,7
126,0.336685,9
127,0.337154,10
128,0.337339,10
129,0.336638,10
130,0.334263,12
131,0.331909,12
132,0.333399,12
133,0.332645,12
134,0.330613,13
135,0.329485,13
136,0.327584,15
137,0.326510,16
138,0.324768,18
139,0.324766,18
140,0.324229,19
141,0.323313,19
142,0.322302,21
143,0.321236,22
144,0.320678,23
145,0.318701,23
146,0.317095,23
147,0.316061,24
148,0.315953,24
149,0.314934,25
150,0.314010,27
151,0.312813,29
152,0.312777,30
153,0.312655,31
154,0.312524,32
155,0.312931,32
156,0.311655,32
157,0.310859,32
158,0.310004,32
159,0.308345,33
160,0.307468,34
161,0.306098,34
162,0.307178,35
163,0.306017,35
164,0.304434,35
165,0.303123,36
166,0.302231,36
167,0.301241,36
168,0.299852,36
169,0.299618,36
170,0.299215,36
171,0.299043,36
172,0.296448,36
173,0.294599,36
174,0.295338,36
175,0.292954,36
176,0.293026,36
177,0.292421,36
178,0.278738,36
179,0.277799,36
180,0.279183,36
181,0.282829,36
182,0.276182,36
183,0.282605,36
184,0.272583,36
185,0.270360,36
186,0.266985,36
187,0.264567,36
188,0.264866,36
189,0.266798,36
190,0.264591,36
191,0.261760,36
192,0.261041,36
193,0.267910,36
194,0.266673,36
195,0.265356,36
196,0.263863,36
197,0.262576,36
198,0.260154,36
199,0.257880,36
200,0.255450,36
201,0.251389,36
202,0.246417,36
203,0.243926,36
204,0.241876,36
205,0.240776,36
206,0.238377,36
207,0.231241,36
208,0.224540,36
209,0.219384,36
210,0.216845,36
211,0.213981,36
212,0.210518,36
213,0.206950,36
214,0.204946,36
215,0.202462,36
216,0.199681,36
217,0.197021,36
218,0.194242,36
219,0.191072,36
220,0.189036,36
221,0.187291,36
222,0.186730,36
223,0.183726,36
224,0.183294,36
225,0.179547,36
226,0.177372,36
227,0.173370,36
228,0.170694,36
229,0.170212,36
230,0.169058,36
231,0.166850,36
232,0.165527,36
233,0.164441,36
234,0.163460,36
235,0.163883,36
236,0.163587,36
237,0.163479,36
238,0.162759,36
239,0.160123,36
240,0.157385,36
241,0.156650,36
242,0.157493,36
243,0.159736,36
244,0.158517,36
245,0.159444,36
246,0.158478,36
247,0.155268,36
248,0.155122,36
249,0.146522,37
250,0.140827,37
251,0.137522,37
252,0.136388,37
253,0.133676,37
254,0.133120,37
255,0.129067,46
256,0.122861,92
257,0.121872,97
258,0.121728,98
259,0.121657,99
260,0.121874,99
261,0.121790,99
262,0.121920,100
