t,n_alive,mean_reward,mean_marginal,mean_k1,mean_kl_exact,exposure
1,200,-0.939343,1.060657,2.865536,2.973375,1.000000
2,200,-0.717104,0.222239,7.369750,7.525156,0.991667
3,200,-0.658252,0.058853,2.884124,2.916516,0.983333
4,200,-0.569639,0.088613,11.848442,11.870228,0.975000
5,200,-0.507836,0.061802,5.251455,5.285493,0.966667
6,200,-0.471418,0.036419,5.902064,5.935248,0.958333
7,200,-0.452379,0.019039,7.051758,7.004798,0.950000
8,200,-0.434374,0.018005,4.879645,4.970438,0.941667
9,200,-0.415254,0.019120,3.668964,3.511928,0.933333
10,200,-0.397678,0.017575,2.416960,2.571892,0.925000
11,200,-0.378998,0.018681,2.631665,2.575966,0.916667
12,200,-0.372690,0.006308,2.843050,2.790843,0.908333
13,200,-0.361981,0.010708,3.137530,3.264061,0.900000
14,200,-0.352874,0.009107,3.954567,3.863003,0.891667
15,200,-0.341307,0.011568,3.118481,3.069154,0.883333
16,200,-0.328740,0.012566,3.305962,3.242969,0.875000
17,200,-0.318974,0.009766,2.423272,2.466534,0.866667
18,200,-0.310198,0.008776,3.145857,3.151857,0.858333
19,200,-0.302360,0.007838,2.486649,2.736817,0.850000
20,200,-0.296593,0.005767,2.850891,2.717578,0.841667
21,200,-0.293054,0.003539,2.932146,2.864323,0.833333
22,200,-0.287847,0.005207,2.752124,2.764200,0.825000
23,200,-0.284088,0.003759,2.624663,2.386985,0.816667
24,200,-0.281827,0.002261,2.529060,2.511036,0.808333
25,200,-0.279119,0.002708,2.728858,2.818901,0.800000
26,200,-0.277463,0.001656,2.491698,2.450413,0.791667
27,200,-0.275166,0.002298,2.354303,2.425314,0.783333
28,200,-0.272296,0.002870,2.609412,2.517040,0.775000
29,200,-0.270353,0.001943,2.655193,2.604048,0.766667
30,200,-0.267679,0.002675,2.785850,2.713024,0.758333
31,200,-0.265088,0.002591,2.355962,2.354801,0.750000
32,200,-0.262511,0.002577,2.480901,2.394169,0.741667
33,200,-0.260786,0.001725,1.975367,1.981709,0.733333
34,200,-0.258798,0.001988,2.078678,2.152371,0.725000
35,200,-0.256681,0.002117,2.729319,2.505698,0.716667
36,200,-0.255341,0.001340,2.330872,2.296180,0.708333
37,200,-0.253148,0.002192,2.363676,2.269464,0.700000
38,200,-0.252497,0.000651,2.359543,2.459965,0.691667
39,200,-0.251892,0.000604,2.245425,2.196980,0.683333
40,200,-0.250837,0.001055,1.878655,1.926461,0.675000
41,200,-0.249739,0.001098,1.910515,1.980794,0.666667
42,200,-0.248151,0.001588,2.272644,2.173226,0.658333
43,200,-0.246876,0.001275,2.129576,2.083013,0.650000
44,200,-0.246316,0.000560,2.161264,2.220784,0.641667
45,200,-0.246064,0.000252,1.946473,1.905234,0.633333
46,200,-0.245186,0.000878,2.179745,2.071014,0.625000
47,200,-0.244413,0.000773,2.076789,2.050465,0.616667
48,200,-0.243104,0.001308,2.162915,2.147455,0.608333
49,200,-0.242430,0.000675,2.515590,2.484134,0.600000
50,200,-0.241422,0.001007,2.163634,2.193218,0.591667
51,200,-0.241180,0.000242,1.992174,1.944874,0.583333
52,200,-0.240273,0.000907,2.032675,2.055532,0.575000
53,200,-0.239498,0.000775,2.390570,2.315408,0.566667
54,200,-0.238692,0.000806,2.083642,1.938679,0.558333
55,200,-0.238231,0.000461,1.742730,1.906568,0.550000
56,200,-0.237616,0.000614,2.046654,2.017359,0.541667
57,200,-0.236551,0.001066,2.032042,1.933088,0.533333
58,200,-0.235860,0.000690,1.792421,1.859093,0.525000
59,200,-0.235210,0.000650,1.881147,1.898426,0.516667
60,200,-0.234567,0.000644,1.906823,1.922092,0.508333
61,200,-0.234151,0.000415,1.694206,1.896416,0.500000
62,200,-0.234069,0.000082,2.006945,2.007005,0.491667
63,200,-0.233633,0.000437,1.807898,1.762331,0.483333
64,200,-0.232531,0.001101,1.922600,1.893808,0.475000
65,200,-0.232378,0.000153,1.753234,1.778823,0.466667
66,200,-0.232046,0.000332,2.023016,2.031108,0.458333
67,200,-0.231827,0.000219,1.907331,1.787110,0.450000
68,200,-0.232002,-0.000175,1.626471,1.697387,0.441667
69,200,-0.232059,-0.000057,1.729825,1.857926,0.433333
70,200,-0.231935,0.000124,1.620942,1.730535,0.425000
71,200,-0.231950,-0.000015,2.016972,1.973911,0.416667
72,200,-0.231703,0.000247,1.692114,1.737226,0.408333
73,200,-0.231497,0.000206,1.691087,1.657179,0.400000
74,200,-0.231430,0.000067,1.452719,1.603480,0.391667
75,200,-0.230998,0.000432,1.578278,1.634329,0.383333
76,200,-0.230939,0.000059,1.544127,1.719892,0.375000
77,200,-0.230848,0.000091,1.626197,1.593443,0.366667
78,200,-0.231135,-0.000286,1.549702,1.626477,0.358333
79,200,-0.230597,0.000538,1.802964,1.844720,0.350000
80,200,-0.230159,0.000437,1.847533,1.818669,0.341667
81,200,-0.229636,0.000523,1.717854,1.637089,0.333333
82,200,-0.229358,0.000277,1.843144,1.716001,0.325000
83,200,-0.228988,0.000371,1.839692,1.835747,0.316667
84,200,-0.228958,0.000030,1.610729,1.675863,0.308333
85,199,-0.229445,-0.000164,1.699066,1.638979,0.300000
86,199,-0.229326,0.000118,1.565475,1.654983,0.291667
87,199,-0.229337,-0.000010,1.392182,1.441514,0.283333
88,199,-0.229318,0.000019,1.771876,1.645375,0.275000
89,199,-0.229331,-0.000013,1.436396,1.491193,0.266667
90,199,-0.229192,0.000139,1.557461,1.490395,0.258333
91,199,-0.228981,0.000211,1.470287,1.391063,0.250000
92,199,-0.228423,0.000558,1.607696,1.602023,0.241667
93,199,-0.227881,0.000542,1.432843,1.410528,0.233333
94,196,-0.226311,0.000464,1.513725,1.507416,0.225000
95,195,-0.226665,0.000100,1.456803,1.545174,0.216667
96,194,-0.226647,0.000562,1.372562,1.528133,0.208333
97,194,-0.226310,0.000337,1.637278,1.520087,0.200000
98,191,-0.226674,0.000270,1.542805,1.661820,0.191667
99,189,-0.227133,-0.000219,1.258996,1.264602,0.183333
100,189,-0.227428,-0.000295,1.218967,1.308224,0.175000
101,185,-0.226649,-0.000126,1.620202,1.536545,0.166667
102,181,-0.227232,-0.000259,1.340386,1.264211,0.158333
103,180,-0.227628,-0.000067,1.185379,1.289967,0.150000
104,180,-0.227162,0.000466,1.587491,1.506328,0.141667
105,179,-0.227171,0.000073,1.082273,1.192602,0.133333
106,177,-0.227913,0.000227,1.234479,1.252674,0.125000
107,174,-0.228112,-0.000109,1.201979,1.267054,0.116667
108,169,-0.226789,-0.000259,1.109310,1.146547,0.108333
109,166,-0.226542,0.000328,1.273970,1.258036,0.100000
110,166,-0.226668,-0.000126,1.207636,1.408614,0.091667
111,166,-0.226761,-0.000094,1.170151,1.085363,0.083333
112,165,-0.227072,0.000089,1.163130,1.083916,0.075000
113,165,-0.227307,-0.000235,1.376435,1.325276,0.066667
114,164,-0.227341,-0.000012,1.429624,1.257328,0.058333
115,163,-0.226530,-0.000114,0.812963,0.770903,0.050000
116,161,-0.225762,-0.000190,0.906832,0.925593,0.041667
117,161,-0.225984,-0.000222,1.161923,1.172817,0.033333
118,161,-0.226275,-0.000291,1.030340,1.063035,0.025000
119,160,-0.225395,-0.000213,1.172817,1.113279,0.016667
120,158,-0.225323,-0.000697,0.851378,0.908030,0.008333
121,158,-0.225762,-0.000439,0.842787,0.823428,0.000000
122,156,-0.227193,-0.000391,0.888412,0.822110,0.000000
123,156,-0.227400,-0.000207,1.110569,1.032581,0.000000
124,156,-0.227522,-0.000122,0.951748,1.027522,0.000000
125,155,-0.227501,0.000005,0.933303,0.860993,0.000000
126,154,-0.227801,-0.000203,0.685079,0.761741,0.000000
127,153,-0.228887,-0.000405,0.848491,0.868285,0.000000
128,153,-0.229492,-0.000605,0.845715,0.835027,0.000000
129,153,-0.229633,-0.000141,0.775325,0.792649,0.000000
130,153,-0.229731,-0.000098,0.779132,0.760675,0.000000
131,153,-0.230045,-0.000314,0.888759,0.984540,0.000000
132,153,-0.230277,-0.000233,0.861593,0.886168,0.000000
133,153,-0.230906,-0.000629,0.821362,0.784336,0.000000
134,152,-0.230955,-0.000419,0.850067,0.794596,0.000000
135,152,-0.231351,-0.000397,0.607008,0.724898,0.000000
136,151,-0.232366,-0.000489,0.789421,0.701454,0.000000
137,151,-0.232975,-0.000610,0.708606,0.695724,0.000000
138,151,-0.233460,-0.000484,1.051457,0.947739,0.000000
139,151,-0.233971,-0.000511,0.889111,0.791931,0.000000
140,151,-0.234615,-0.000645,0.645292,0.635027,0.000000
141,151,-0.234851,-0.000235,0.775075,0.828347,0.000000
142,151,-0.234897,-0.000046,0.865943,0.841607,0.000000
143,151,-0.235839,-0.000943,0.639289,0.726387,0.000000
144,151,-0.236726,-0.000886,0.768652,0.735575,0.000000
145,151,-0.237331,-0.000606,0.683522,0.768215,0.000000
146,151,-0.237823,-0.000491,0.840460,0.869504,0.000000
147,150,-0.240488,-0.002390,0.756457,0.763326,0.000000
148,150,-0.240439,0.000049,0.770217,0.764007,0.000000
149,150,-0.240974,-0.000536,0.702610,0.702897,0.000000
150,150,-0.247419,-0.006445,0.580893,0.663963,0.000000
151,150,-0.247335,0.000084,0.556195,0.702235,0.000000
152,150,-0.247540,-0.000205,0.636869,0.636151,0.000000
153,149,-0.249232,-0.000930,0.672281,0.665483,0.000000
154,149,-0.250104,-0.000872,0.692734,0.716248,0.000000
155,149,-0.245801,0.004303,0.747531,0.744005,0.000000
156,149,-0.247417,-0.001616,0.892169,0.870087,0.000000
157,148,-0.247774,-0.000624,0.994142,0.901461,0.000000
158,147,-0.246086,-0.000009,0.856558,0.873833,0.000000
159,146,-0.250984,-0.003977,0.390806,0.482329,0.000000
160,146,-0.251930,-0.000945,0.576789,0.602733,0.000000
