arm,side,L,fve
ws,prefix,1,-0.315882
ws,prefix,2,-0.236079
ws,prefix,3,-0.211230
ws,prefix,4,-0.093141
ws,prefix,5,-0.051272
ws,prefix,6,-0.013485
ws,prefix,7,-0.003709
ws,prefix,8,0.030477
ws,prefix,9,0.043899
ws,prefix,10,0.065332
ws,prefix,11,0.076149
ws,prefix,12,0.093139
ws,prefix,13,0.110176
ws,prefix,14,0.129202
ws,prefix,15,0.152932
ws,prefix,16,0.167933
ws,prefix,17,0.177700
ws,prefix,18,0.183480
ws,prefix,19,0.190635
ws,prefix,20,0.197702
ws,prefix,21,0.203999
ws,prefix,22,0.208181
ws,prefix,23,0.218780
ws,prefix,24,0.220889
ws,prefix,25,0.226596
ws,prefix,26,0.227362
ws,prefix,27,0.230181
ws,prefix,28,0.229997
ws,prefix,29,0.229616
ws,prefix,30,0.234423
ws,prefix,31,0.236479
ws,prefix,32,0.242798
ws,prefix,33,0.244610
ws,prefix,34,0.250680
ws,prefix,35,0.255891
ws,prefix,36,0.263687
ws,prefix,37,0.265746
ws,prefix,38,0.270127
ws,prefix,39,0.272930
ws,prefix,40,0.279793
ws,prefix,41,0.283212
ws,prefix,42,0.286083
ws,prefix,43,0.286401
ws,prefix,44,0.284870
ws,prefix,45,0.284119
ws,prefix,46,0.285688
ws,prefix,47,0.286169
ws,prefix,48,0.289901
ws,prefix,49,0.292551
ws,prefix,50,0.297138
ws,prefix,51,0.297930
ws,prefix,52,0.300583
ws,prefix,53,0.301027
ws,prefix,54,0.302676
ws,prefix,55,0.304542
ws,prefix,56,0.307967
ws,prefix,57,0.308961
ws,prefix,58,0.309719
ws,prefix,59,0.307700
ws,prefix,60,0.310865
ws,prefix,61,0.314115
ws,prefix,62,0.315015
ws,prefix,63,0.317204
ws,prefix,64,0.323569
ws,prefix,65,0.325513
ws,prefix,66,0.326484
ws,prefix,67,0.325439
ws,prefix,68,0.325483
ws,prefix,69,0.325608
ws,prefix,70,0.325184
ws,prefix,71,0.326942
ws,prefix,72,0.329815
ws,prefix,73,0.332077
ws,prefix,74,0.335495
ws,prefix,75,0.336890
ws,prefix,76,0.337056
ws,prefix,77,0.335631
ws,prefix,78,0.336560
ws,prefix,79,0.337866
ws,prefix,80,0.340667
ws,prefix,81,0.343577
ws,prefix,82,0.343943
ws,prefix,83,0.344603
ws,prefix,84,0.347071
ws,prefix,85,0.347160
ws,prefix,86,0.347448
ws,prefix,87,0.348678
ws,prefix,88,0.347542
ws,prefix,89,0.348467
ws,prefix,90,0.346217
ws,prefix,91,0.346469
ws,prefix,92,0.345011
ws,prefix,93,0.344396
ws,prefix,94,0.347612
ws,prefix,95,0.348012
ws,prefix,96,0.347445
