length_tokens,fve,n_samples_at_full
1,-0.877906,0
2,-0.868989,0
3,-0.855947,0
4,-0.834121,0
5,-0.828732,0
6,-0.816340,0
7,-0.796651,0
8,-0.776733,0
9,-0.763806,0
10,-0.736096,0
11,-0.739290,0
12,-0.713018,0
13,-0.688496,0
14,-0.681693,0
15,-0.683101,0
16,-0.660831,0
17,-0.671788,0
18,-0.657458,0
19,-0.665061,0
20,-0.661588,0
22,-0.659501,0
24,-0.635284,0
26,-0.644561,0
28,-0.616348,0
30,-0.602172,0
32,-0.594397,0
34,-0.568793,0
36,-0.554694,0
38,-0.497189,0
40,-0.488671,0
42,-0.446326,0
44,-0.421378,0
46,-0.400008,0
48,-0.346235,0
50,-0.314536,0
52,-0.276475,0
54,-0.236885,0
56,-0.194938,0
58,-0.183557,0
60,-0.146746,0
65,-0.066017,0
70,0.022196,0
75,0.185829,0
80,0.315602,0
85,0.368704,0
90,0.454504,0
95,0.511602,0
100,0.572276,0
105,0.617009,0
110,0.642955,0
115,0.667768,0
120,0.694849,0
125,0.706771,0
130,0.713601,0
135,0.716935,1
140,0.719345,1
145,0.725803,1
150,0.728451,3
160,0.734910,18
170,0.741993,56
180,0.742193,89
190,0.742648,96
200,0.742767,99
210,0.742778,99
220,0.742732,99
230,0.742667,99
240,0.742234,99
250,0.742457,99
260,0.742505,99
270,0.742525,99
274,0.742512,100
