length_tokens,fve,n_samples_at_full
1,-0.024593,0
2,0.109088,0
3,0.201281,0
4,0.247049,0
5,0.297990,0
6,0.337073,0
7,0.376239,0
8,0.397262,0
9,0.415031,0
10,0.442641,0
11,0.459408,0
12,0.470706,0
13,0.479816,0
14,0.488533,0
15,0.500330,0
16,0.509691,0
17,0.513987,0
18,0.521755,0
19,0.523438,0
20,0.525840,0
22,0.540893,0
24,0.548736,0
26,0.555160,0
28,0.561270,0
30,0.569345,0
32,0.575466,0
34,0.579253,0
36,0.583392,0
38,0.587015,0
40,0.590874,0
42,0.593996,0
44,0.598413,0
46,0.601369,0
48,0.604457,0
50,0.608371,0
52,0.609363,0
54,0.611553,0
56,0.614608,0
58,0.615270,0
60,0.616425,0
65,0.625115,0
70,0.633419,0
75,0.635693,0
80,0.639309,0
85,0.640832,0
90,0.643802,0
95,0.644969,0
100,0.647595,0
105,0.651384,0
110,0.655830,0
115,0.658507,0
120,0.653501,0
125,0.652546,0
130,0.653714,0
135,0.654812,0
140,0.658776,0
145,0.663999,0
150,0.662551,2
160,0.658983,8
170,0.666176,12
180,0.665333,23
190,0.663752,29
200,0.661016,37
210,0.661237,48
220,0.661943,55
230,0.663040,60
240,0.662958,66
250,0.662413,69
257,0.662063,100
