length_tokens,fve,n_samples_at_full
1,-0.867530,0
2,-0.853410,0
3,-0.841360,0
4,-0.825714,0
5,-0.810801,0
6,-0.803157,0
7,-0.790061,0
8,-0.782148,0
9,-0.750593,0
10,-0.739948,0
11,-0.729280,0
12,-0.709709,0
13,-0.704031,0
14,-0.672646,0
15,-0.666003,0
16,-0.642350,0
17,-0.648811,0
18,-0.635140,0
19,-0.636570,0
20,-0.620818,0
22,-0.621642,0
24,-0.623595,0
26,-0.617044,0
28,-0.602422,0
30,-0.609796,0
32,-0.610687,0
34,-0.584897,0
36,-0.563034,0
38,-0.536815,0
40,-0.496575,0
42,-0.495057,0
44,-0.446853,0
46,-0.424112,0
48,-0.393204,0
50,-0.326725,0
52,-0.293252,0
54,-0.286926,0
56,-0.246592,0
58,-0.213113,0
60,-0.188926,0
65,-0.090062,0
70,0.005926,0
75,0.076036,0
80,0.188479,0
85,0.289046,0
90,0.405580,0
95,0.481262,0
100,0.536047,0
105,0.573423,0
110,0.611590,0
115,0.633759,0
120,0.648063,0
125,0.664347,0
130,0.675411,0
135,0.679021,1
140,0.680926,2
145,0.689927,3
150,0.703792,4
160,0.708492,17
170,0.715517,53
180,0.718034,88
190,0.719093,98
197,0.719102,100
