length_tokens,fve,n_samples_at_full
1,-0.865788,0
2,-0.768927,0
3,-0.767500,0
4,-0.456231,0
5,-0.360104,0
6,-0.319413,0
7,-0.267546,0
8,-0.239537,0
9,-0.224779,0
10,-0.201500,0
11,-0.195313,0
12,-0.154025,0
13,-0.136466,0
14,-0.115780,0
15,-0.101201,0
16,-0.090581,0
17,-0.040009,0
18,-0.026558,0
19,0.010740,0
20,0.044370,0
22,0.120004,0
24,0.166922,0
26,0.197174,0
28,0.251554,0
30,0.277375,0
32,0.318342,0
34,0.350961,0
36,0.378705,0
38,0.405796,0
40,0.430260,0
42,0.456922,0
44,0.470585,0
46,0.471219,0
48,0.488723,0
50,0.498801,0
52,0.500722,0
54,0.512687,0
56,0.522952,0
58,0.523559,0
60,0.528617,0
65,0.544876,0
70,0.575146,0
75,0.584747,0
80,0.594130,0
85,0.611620,0
90,0.621881,0
95,0.618240,0
100,0.616820,0
105,0.623623,0
110,0.640638,0
115,0.639313,0
120,0.649274,0
125,0.654674,0
130,0.659890,0
135,0.661498,1
140,0.664311,2
145,0.670452,3
150,0.671436,4
160,0.673081,17
170,0.670228,53
180,0.672096,88
190,0.672110,98
197,0.672112,100
