length_tokens,fve,n_samples_at_full
1,-0.870566,0
2,-0.772965,0
3,-0.756536,0
4,-0.486834,0
5,-0.376482,0
6,-0.334467,0
7,-0.283045,0
8,-0.248847,0
9,-0.233094,0
10,-0.214794,0
11,-0.209063,0
12,-0.167671,0
13,-0.146364,0
14,-0.120530,0
15,-0.115337,0
16,-0.099926,0
17,-0.057930,0
18,-0.026125,0
19,-0.007529,0
20,0.040204,0
22,0.076896,0
24,0.139250,0
26,0.170545,0
28,0.231755,0
30,0.249237,0
32,0.296225,0
34,0.319696,0
36,0.353691,0
38,0.392128,0
40,0.405178,0
42,0.462553,0
44,0.450456,0
46,0.463957,0
48,0.489902,0
50,0.500197,0
52,0.496387,0
54,0.516897,0
56,0.516654,0
58,0.511151,0
60,0.522201,0
65,0.543542,0
70,0.570078,0
75,0.587848,0
80,0.604323,0
85,0.617054,0
90,0.623370,0
95,0.623205,0
100,0.625722,0
105,0.633108,0
110,0.637110,0
115,0.641887,0
120,0.654491,0
125,0.655119,0
130,0.659561,0
135,0.663664,2
140,0.667379,2
145,0.669567,3
150,0.668847,5
160,0.665817,30
170,0.668040,67
180,0.667115,92
190,0.667303,99
193,0.667305,100
