length_tokens,fve,n_samples_at_full
1,-0.217528,0
2,-0.225757,0
3,-0.188714,0
4,-0.108159,0
5,-0.023241,0
6,0.035445,0
7,0.093080,0
8,0.126607,0
9,0.151534,0
10,0.173331,0
11,0.201327,0
12,0.219366,0
13,0.247744,0
14,0.268507,0
15,0.286191,0
16,0.302531,0
17,0.311078,0
18,0.327561,0
19,0.341463,0
20,0.352543,0
22,0.371009,0
24,0.385716,0
26,0.395199,0
28,0.414365,0
30,0.421032,0
32,0.430047,0
34,0.437538,0
36,0.444694,0
38,0.453350,0
40,0.466969,0
42,0.482418,0
44,0.486818,0
46,0.494759,0
48,0.501675,0
50,0.511580,0
52,0.517660,0
54,0.522438,0
56,0.525183,0
58,0.529266,0
60,0.533096,0
65,0.540342,0
70,0.550791,0
75,0.561334,0
80,0.561611,0
85,0.568158,0
90,0.574896,0
95,0.577226,0
100,0.582732,0
105,0.586432,0
110,0.591190,0
115,0.593568,0
120,0.595316,0
125,0.597817,0
130,0.603657,1
135,0.605880,1
140,0.606850,1
145,0.610723,1
150,0.611782,2
160,0.614804,6
170,0.616368,11
180,0.618115,16
190,0.619768,23
200,0.619638,24
210,0.622505,32
220,0.624821,39
230,0.623825,43
240,0.625284,49
250,0.624979,55
258,0.625572,100
