length_tokens,fve,n_samples_at_full
1,-0.841847,0
2,-0.812538,0
3,-0.791659,0
4,-0.790412,0
5,-0.777419,0
6,-0.767137,0
7,-0.749767,0
8,-0.744829,0
9,-0.734449,0
10,-0.708194,0
11,-0.688523,0
12,-0.674306,0
13,-0.681281,0
14,-0.657731,0
15,-0.656090,0
16,-0.629815,0
17,-0.642436,0
18,-0.613311,0
19,-0.604060,0
20,-0.612528,0
22,-0.610976,0
24,-0.592895,0
26,-0.589136,0
28,-0.557437,0
30,-0.570489,0
32,-0.545152,0
34,-0.525624,0
36,-0.518007,0
38,-0.479512,0
40,-0.440248,0
42,-0.419442,0
44,-0.373403,0
46,-0.354946,0
48,-0.315078,0
50,-0.301496,0
52,-0.255248,0
54,-0.231831,0
56,-0.224256,0
58,-0.132399,0
60,-0.123306,0
65,-0.040685,0
70,0.125776,0
75,0.225930,0
80,0.287133,0
85,0.379091,0
90,0.467662,0
95,0.523467,0
100,0.540765,0
105,0.594384,0
110,0.657320,0
115,0.674531,0
120,0.697397,0
125,0.704983,0
130,0.691377,0
135,0.720195,0
140,0.729427,1
145,0.735345,2
150,0.735826,5
160,0.739605,18
170,0.743916,54
180,0.744074,87
190,0.743983,96
200,0.744116,97
210,0.744116,98
220,0.744410,98
230,0.744229,99
240,0.744286,99
250,0.744120,99
255,0.744080,100
