length_tokens,fve,n_samples_at_full
1,-0.507216,0
2,-0.352314,0
3,-0.345820,0
4,-0.240101,0
5,-0.189086,0
6,-0.126109,0
7,-0.103759,0
8,-0.082156,0
9,-0.054803,0
10,-0.034029,0
11,-0.004123,0
12,0.022344,0
13,0.049470,0
14,0.075308,0
15,0.100161,0
16,0.121906,0
17,0.139474,0
18,0.150969,0
19,0.168124,0
20,0.181586,0
21,0.190321,0
22,0.219978,0
23,0.227987,0
24,0.238075,0
25,0.248284,0
26,0.265305,0
27,0.269350,0
28,0.275967,0
29,0.281386,0
30,0.285121,0
31,0.289419,0
32,0.293254,0
33,0.298673,0
34,0.300841,0
35,0.304441,0
36,0.312788,0
37,0.324089,0
38,0.328086,0
39,0.333041,0
40,0.339785,0
41,0.345763,0
42,0.351020,0
43,0.354782,0
44,0.357610,0
45,0.361620,0
46,0.364490,0
47,0.365597,0
48,0.368953,0
49,0.370902,0
50,0.372888,0
51,0.375577,0
52,0.380487,0
53,0.383425,0
54,0.383893,0
55,0.387598,0
56,0.388533,0
57,0.388663,0
58,0.391819,0
59,0.394039,0
60,0.396122,0
61,0.398670,0
62,0.400167,0
63,0.400908,0
64,0.402337,0
65,0.402417,0
66,0.404460,0
67,0.408175,0
68,0.409352,0
69,0.410706,0
70,0.413245,0
71,0.414125,0
72,0.414386,0
73,0.414455,0
74,0.417546,0
75,0.420374,0
76,0.420509,0
77,0.420543,0
78,0.423137,0
79,0.423465,0
80,0.425793,0
81,0.425877,0
82,0.426048,0
83,0.428300,0
84,0.429486,0
85,0.431496,0
86,0.432904,0
87,0.433638,0
88,0.429517,0
89,0.433293,0
90,0.438939,0
91,0.439496,0
92,0.438021,0
93,0.438342,0
94,0.442576,0
95,0.444251,1
96,0.446430,1
97,0.444963,2
98,0.442868,2
99,0.442516,2
100,0.446135,2
101,0.447282,4
102,0.443875,5
103,0.445440,6
104,0.448143,6
105,0.450641,7
106,0.452529,7
107,0.449968,8
108,0.449430,11
109,0.450383,14
110,0.450819,14
111,0.455798,16
112,0.455490,17
113,0.455088,18
114,0.455370,20
115,0.457570,20
116,0.457775,23
117,0.442756,26
118,0.440842,28
119,0.439187,33
120,0.442591,42
121,0.443268,46
122,0.440838,52
123,0.438479,54
124,0.439094,60
125,0.440743,61
126,0.442067,62
127,0.441955,63
128,0.441950,68
129,0.441525,71
130,0.442026,72
131,0.441408,74
132,0.440601,76
133,0.440610,78
134,0.439902,79
135,0.440926,81
136,0.442595,82
137,0.442276,82
138,0.443685,83
139,0.443116,86
140,0.443114,87
141,0.443601,88
142,0.442141,89
143,0.442359,91
144,0.440207,91
145,0.440738,93
146,0.442380,93
147,0.439766,94
148,0.441627,94
149,0.440904,94
150,0.441230,95
151,0.444277,95
152,0.441346,95
153,0.442674,96
154,0.442328,96
155,0.441803,97
156,0.442802,97
157,0.439824,98
158,0.439088,98
159,0.438641,98
160,0.438647,98
161,0.441514,98
162,0.439616,98
163,0.440688,98
164,0.439055,98
165,0.439037,98
166,0.441899,98
167,0.440903,98
168,0.440631,98
169,0.439398,98
170,0.439214,98
171,0.442413,98
172,0.441969,98
173,0.441804,98
174,0.441888,98
175,0.441461,98
176,0.442637,98
177,0.441858,98
178,0.441589,98
179,0.441223,98
180,0.440440,98
181,0.442664,98
182,0.441517,98
183,0.441058,98
184,0.439945,98
185,0.438974,98
186,0.441531,98
187,0.438978,98
188,0.438429,98
189,0.438655,98
190,0.438822,98
191,0.440506,98
192,0.439229,98
193,0.439264,98
194,0.439012,98
195,0.439445,98
196,0.440929,98
197,0.440703,98
198,0.440669,98
199,0.441530,98
200,0.440436,98
201,0.444287,98
202,0.443613,98
203,0.442508,98
204,0.442129,98
205,0.441518,98
206,0.443582,98
207,0.442328,98
208,0.444781,98
209,0.443537,98
210,0.442096,98
211,0.445883,98
212,0.443573,98
213,0.443118,98
214,0.442609,98
215,0.443563,98
216,0.444667,98
217,0.442857,98
218,0.442457,98
219,0.442146,98
220,0.442511,98
221,0.445448,98
222,0.445383,98
223,0.446935,98
224,0.456661,98
225,0.461026,98
226,0.462045,98
227,0.461100,98
228,0.461388,98
229,0.461104,98
230,0.461959,98
231,0.461896,98
232,0.459829,98
233,0.459106,98
234,0.459549,98
235,0.461429,98
236,0.461900,98
237,0.461329,98
238,0.461446,98
239,0.460850,98
240,0.461350,98
241,0.462529,98
242,0.461464,98
243,0.461594,98
244,0.460162,98
245,0.460912,98
246,0.462471,98
247,0.462429,98
248,0.462230,98
249,0.461476,98
250,0.460552,98
251,0.462038,98
252,0.461432,100
